Zipcode,Year,Data Format,Evictions,ZIPCODE,UHFNAME,BOROUGH
10001,2017,Number,46.0,10001,Chelsea - Clinton,Manhattan
10002,2017,Number,77.0,10002,Union Square - Lower East Side,Manhattan
10003,2017,Number,42.0,10003,Union Square - Lower East Side,Manhattan
10004,2017,Number,3.0,10004,Lower Manhattan,Manhattan
10005,2017,Number,14.0,10005,Lower Manhattan,Manhattan
10006,2017,Number,7.0,10006,Lower Manhattan,Manhattan
10007,2017,Number,5.0,10007,Lower Manhattan,Manhattan
10009,2017,Number,102.0,10009,Union Square - Lower East Side,Manhattan
10010,2017,Number,24.0,10010,Gramercy Park -  Murray Hill,Manhattan
10011,2017,Number,43.0,10011,Chelsea - Clinton,Manhattan
10012,2017,Number,25.0,10012,Greenwich Village - Soho,Manhattan
10013,2017,Number,24.0,10013,Greenwich Village - Soho,Manhattan
10014,2017,Number,29.0,10014,Greenwich Village - Soho,Manhattan
10016,2017,Number,54.0,10016,Gramercy Park -  Murray Hill,Manhattan
10017,2017,Number,23.0,10017,Gramercy Park -  Murray Hill,Manhattan
10018,2017,Number,11.0,10018,Chelsea - Clinton,Manhattan
10019,2017,Number,95.0,10019,Chelsea - Clinton,Manhattan
10021,2017,Number,40.0,10021,Upper East Side,Manhattan
10022,2017,Number,33.0,10022,Gramercy Park -  Murray Hill,Manhattan
10023,2017,Number,37.0,10023,Upper West Side,Manhattan
10024,2017,Number,32.0,10024,Upper West Side,Manhattan
10025,2017,Number,115.0,10025,Upper West Side,Manhattan
10026,2017,Number,104.0,10026,Central Harlem - Morningside Heights,Manhattan
10027,2017,Number,129.0,10027,Central Harlem - Morningside Heights,Manhattan
10028,2017,Number,36.0,10028,Upper East Side,Manhattan
10029,2017,Number,175.0,10029,East Harlem,Manhattan
10030,2017,Number,129.0,10030,Central Harlem - Morningside Heights,Manhattan
10031,2017,Number,189.0,10031,Washington Heights - Inwood,Manhattan
10032,2017,Number,167.0,10032,Washington Heights - Inwood,Manhattan
10033,2017,Number,154.0,10033,Washington Heights - Inwood,Manhattan
10034,2017,Number,114.0,10034,Washington Heights - Inwood,Manhattan
10035,2017,Number,139.0,10035,East Harlem,Manhattan
10036,2017,Number,93.0,10036,Chelsea - Clinton,Manhattan
10037,2017,Number,121.0,10037,Central Harlem - Morningside Heights,Manhattan
10038,2017,Number,20.0,10038,Lower Manhattan,Manhattan
10039,2017,Number,120.0,10039,Central Harlem - Morningside Heights,Manhattan
10040,2017,Number,113.0,10040,Washington Heights - Inwood,Manhattan
10044,2017,Number,15.0,10044,Upper East Side,Manhattan
10065,2017,Number,35.0,10065,Upper East Side,Manhattan
10069,2017,Number,7.0,10069,Upper West Side,Manhattan
10075,2017,Number,9.0,10075,Upper East Side,Manhattan
10128,2017,Number,57.0,10128,Upper East Side,Manhattan
10280,2017,Number,9.0,10280,Lower Manhattan,Manhattan
10282,2017,Number,3.0,10282,Lower Manhattan,Manhattan
10301,2017,Number,121.0,10301,Stapleton - St. George,Staten Island
10302,2017,Number,36.0,10302,Port  Richmond,Staten Island
10303,2017,Number,86.0,10303,Port  Richmond,Staten Island
10304,2017,Number,131.0,10304,Stapleton - St. George,Staten Island
10305,2017,Number,58.0,10305,Stapleton - St. George,Staten Island
10306,2017,Number,57.0,10306,South Beach - Tottenville,Staten Island
10307,2017,Number,9.0,10307,South Beach - Tottenville,Staten Island
10308,2017,Number,13.0,10308,South Beach - Tottenville,Staten Island
10309,2017,Number,21.0,10309,South Beach - Tottenville,Staten Island
10310,2017,Number,63.0,10310,Port  Richmond,Staten Island
10312,2017,Number,30.0,10312,South Beach - Tottenville,Staten Island
