Neighborhood,Year,Data Format,Unit
Battery Park/Tribeca,2018,Number,43892
Greenwich Village,2018,Number,57146
Lower East Side,2018,Number,81404
Chelsea/Clinton,2018,Number,85163
Midtown Business District,2018,Number,47373
Murray Hill/Stuyvesant,2018,Number,99362
Upper West Side,2018,Number,127516
Upper East Side,2018,Number,149217
Manhattanville,2018,Number,45495
Central Harlem,2018,Number,59541
East Harlem,2018,Number,56990
Washington Heights,2018,Number,72895
Mott Haven,2018,Number,39063
Hunts Point,2018,Number,20123
Morrisania,2018,Number,34238
Concourse/Highbridge,2018,Number,51894
University Heights,2018,Number,51169
East Tremont,2018,Number,33005
Bedford Park,2018,Number,51982
Riverdale,2018,Number,44172
Unionport/Soundview,2018,Number,64871
Throgs Neck,2018,Number,49638
Pelham Parkway,2018,Number,52744
Williamsbridge,2018,Number,54941
Williamsburg/Greenpoint,2018,Number,86107
Fort Greene/Brooklyn Hts,2018,Number,68650
Bedford Stuyvesant,2018,Number,70496
Bushwick,2018,Number,43056
East New York,2018,Number,65804
Park Slope,2018,Number,54529
Sunset Park,2018,Number,41436
Crown Heights North,2018,Number,47264
Crown Heights South,2018,Number,40354
Bay Ridge,2018,Number,52070
Bensonhurst,2018,Number,68083
Borough Park,2018,Number,60383
Coney Island,2018,Number,46421
Flatbush/Midwood,2018,Number,61310
Sheepshead Bay,2018,Number,64756
Brownsville,2018,Number,36432
East Flatbush,2018,Number,58120
Canarsie,2018,Number,65237
Astoria,2018,Number,87438
Sunnyside/Woodside,2018,Number,67243
Jackson Heights,2018,Number,52882
Elmhurst/Corona,2018,Number,53618
Ridgewood/Glendale,2018,Number,66329
Rego Park/Forest Hills,2018,Number,55744
Flushing,2018,Number,96260
Fresh Meadows/Briarwood,2018,Number,59030
Woodhaven,2018,Number,46203
Howard Beach,2018,Number,39195
Bayside,2018,Number,45165
Jamaica/St. Albans,2018,Number,76920
Queens Village,2018,Number,60793
The Rockaways,2018,Number,45804
St. George,2018,Number,65009
South Beach,2018,Number,48732
Tottenville,2018,Number,60847
Bronx,2018,Number,1030508
Brooklyn,2018,Number,544734
Manhattan,2018,Number,929126
Queens,2018,Number,852626
Staten Island,2018,Number,174588
New York City,2018,Number,3531582
