Neighborhood,Year,Unit,Evictions,UHFNAME,Eviction Rate
Battery Park/Tribeca,2018,43892,4.0,Lower Manhattan,0.009113278046113187
Battery Park/Tribeca,2018,43892,13.0,Lower Manhattan,0.029618153649867855
Battery Park/Tribeca,2018,43892,4.0,Lower Manhattan,0.009113278046113187
Battery Park/Tribeca,2018,43892,3.0,Lower Manhattan,0.006834958534584891
Battery Park/Tribeca,2018,43892,16.0,Lower Manhattan,0.03645311218445275
Battery Park/Tribeca,2018,43892,7.0,Lower Manhattan,0.015948236580698077
Battery Park/Tribeca,2018,43892,2.0,Lower Manhattan,0.0045566390230565934
Greenwich Village,2018,57146,30.0,Greenwich Village - Soho,0.05249711265880376
Greenwich Village,2018,57146,20.0,Greenwich Village - Soho,0.03499807510586918
Greenwich Village,2018,57146,27.0,Greenwich Village - Soho,0.04724740139292339
Lower East Side,2018,81404,90.0,Union Square - Lower East Side,0.11055967765711758
Lower East Side,2018,81404,28.0,Union Square - Lower East Side,0.03439634415999214
Lower East Side,2018,81404,89.0,Union Square - Lower East Side,0.10933123679426072
Chelsea/Clinton,2018,85163,58.0,Chelsea - Clinton,0.06810469335274709
Chelsea/Clinton,2018,85163,34.0,Chelsea - Clinton,0.039923440930920706
Chelsea/Clinton,2018,85163,23.0,Chelsea - Clinton,0.027007033570916945
Chelsea/Clinton,2018,85163,87.0,Chelsea - Clinton,0.10215704002912063
Chelsea/Clinton,2018,85163,69.0,Chelsea - Clinton,0.08102110071275084
Murray Hill/Stuyvesant,2018,99362,20.0,Gramercy Park -  Murray Hill,0.020128419315231176
Murray Hill/Stuyvesant,2018,99362,48.0,Gramercy Park -  Murray Hill,0.04830820635655482
Murray Hill/Stuyvesant,2018,99362,17.0,Gramercy Park -  Murray Hill,0.017109156417946497
Murray Hill/Stuyvesant,2018,99362,42.0,Gramercy Park -  Murray Hill,0.04226968056198546
Upper West Side,2018,127516,47.0,Upper West Side,0.036858119765362775
Upper West Side,2018,127516,51.0,Upper West Side,0.039994981021989395
Upper West Side,2018,127516,118.0,Upper West Side,0.09253740707048527
Upper West Side,2018,127516,1.0,Upper West Side,0.0007842153141566548
Upper East Side,2018,149217,37.0,Upper East Side,0.02479610232078114
Upper East Side,2018,149217,38.0,Upper East Side,0.025466267248369825
Upper East Side,2018,149217,10.0,Upper East Side,0.006701649275886796
Upper East Side,2018,149217,35.0,Upper East Side,0.023455772465603784
Upper East Side,2018,149217,22.0,Upper East Side,0.01474362840695095
Upper East Side,2018,149217,35.0,Upper East Side,0.023455772465603784
Central Harlem,2018,59541,67.0,Central Harlem - Morningside Heights,0.11252750205740583
Central Harlem,2018,59541,120.0,Central Harlem - Morningside Heights,0.20154179472968206
Central Harlem,2018,59541,128.0,Central Harlem - Morningside Heights,0.21497791437832753
Central Harlem,2018,59541,111.0,Central Harlem - Morningside Heights,0.18642616012495591
Central Harlem,2018,59541,144.0,Central Harlem - Morningside Heights,0.24185015367561846
East Harlem,2018,56990,199.0,East Harlem,0.34918406738024216
