ZCTA,MODZCTA,UHFCODE,UHFNAME,BOROUGH
10001,10001,306,Chelsea - Clinton,Manhattan
10002,10002,309,Union Square - Lower East Side,Manhattan
10003,10003,309,Union Square - Lower East Side,Manhattan
10004,10004,310,Lower Manhattan,Manhattan
10005,10005,310,Lower Manhattan,Manhattan
10006,10006,310,Lower Manhattan,Manhattan
10007,10007,310,Lower Manhattan,Manhattan
10009,10009,309,Union Square - Lower East Side,Manhattan
10010,10010,307,Gramercy Park -  Murray Hill,Manhattan
10011,10011,306,Chelsea - Clinton,Manhattan
10012,10012,308,Greenwich Village - Soho,Manhattan
10013,10013,308,Greenwich Village - Soho,Manhattan
10014,10014,308,Greenwich Village - Soho,Manhattan
10016,10016,307,Gramercy Park -  Murray Hill,Manhattan
10017,10017,307,Gramercy Park -  Murray Hill,Manhattan
10018,10018,306,Chelsea - Clinton,Manhattan
10019,10019,306,Chelsea - Clinton,Manhattan
10020,10019,306,Chelsea - Clinton,Manhattan
10021,10021,305,Upper East Side,Manhattan
10022,10022,307,Gramercy Park -  Murray Hill,Manhattan
10023,10023,304,Upper West Side,Manhattan
10024,10024,304,Upper West Side,Manhattan
10025,10025,304,Upper West Side,Manhattan
10026,10026,302,Central Harlem - Morningside Heights,Manhattan
10027,10027,302,Central Harlem - Morningside Heights,Manhattan
10028,10028,305,Upper East Side,Manhattan
10029,10029,303,East Harlem,Manhattan
10030,10030,302,Central Harlem - Morningside Heights,Manhattan
10031,10031,301,Washington Heights - Inwood,Manhattan
10032,10032,301,Washington Heights - Inwood,Manhattan
10033,10033,301,Washington Heights - Inwood,Manhattan
10034,10034,301,Washington Heights - Inwood,Manhattan
10035,10035,303,East Harlem,Manhattan
10036,10036,306,Chelsea - Clinton,Manhattan
10037,10037,302,Central Harlem - Morningside Heights,Manhattan
10038,10038,310,Lower Manhattan,Manhattan
10039,10039,302,Central Harlem - Morningside Heights,Manhattan
10040,10040,301,Washington Heights - Inwood,Manhattan
10044,10044,305,Upper East Side,Manhattan
10065,10065,305,Upper East Side,Manhattan
10069,10069,304,Upper West Side,Manhattan
10075,10075,305,Upper East Side,Manhattan
10103,10019,306,Chelsea - Clinton,Manhattan
10110,10036,306,Chelsea - Clinton,Manhattan
10111,10019,306,Chelsea - Clinton,Manhattan
10112,10019,306,Chelsea - Clinton,Manhattan
10115,10027,302,Central Harlem - Morningside Heights,Manhattan
10119,10001,306,Chelsea - Clinton,Manhattan
10128,10128,305,Upper East Side,Manhattan
