"Name","Employment Population Ratio"
"Description","<span style=""background-color: #ffffff; color: #333333;"">The <g class=""gr_ gr_8 gr-alert gr_spell gr_inline_cards gr_run_anim ContextualSpelling ins-del multiReplace replaceWithoutSep"" id=""8"" data-gr-id=""8"">employment population</g> ratio represents the proportion of the population aged 16 and over that are currently employed.&nbsp;</span>"
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table S2301 (2005-2019, 2021-2022); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a><a href=""http://factfinder2.census.gov/"" target=""_blank""></a>."
"Notes","Please note, we do not report 2020 American Community Survey 1-year estimates. Due to disruptions and biases in data collection during 2020, the Census Bureau released the &ldquo;experimental&rdquo; 1-year estimates for 2020 and advises against comparing against estimates from prior or future years.<br />
<br />
Previously, CCC calculated the employment population ratio for the working age population (aged 16 to 64). In December 2019, CCC adjusted this indicator to measure the employment population ratio of the civilian population aged 16 and older, in line with reporting from the&nbsp;<a href=""https://data.bls.gov/timeseries/LNS12300000"" target=""_blank"">Bureau of Labor Statistics</a>."

Location,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,2005,Percent,0.751,101
Greenwich Village,2005,Percent,0.751,102
Lower East Side,2005,Percent,0.564,103
Chelsea/Clinton,2005,Percent,0.677,104
Midtown Business District,2005,Percent,0.677,105
Murray Hill/Stuyvesant,2005,Percent,0.711,106
Upper West Side,2005,Percent,0.675,107
Upper East Side,2005,Percent,0.667,108
East Harlem,2005,Percent,0.489,111
Washington Heights,2005,Percent,0.575,112
Mott Haven,2005,Percent,0.391,201
Hunts Point,2005,Percent,0.391,202
Morrisania,2005,Percent,0.447,203
Concourse/Highbridge,2005,Percent,0.518,204
University Heights,2005,Percent,0.523,205
East Tremont,2005,Percent,0.447,206
Bedford Park,2005,Percent,0.567,207
Riverdale,2005,Percent,0.567,208
Unionport/Soundview,2005,Percent,0.535,209
Pelham Parkway,2005,Percent,0.558,211
Williamsbridge,2005,Percent,0.554,212
Williamsburg/Greenpoint,2005,Percent,0.542,301
Fort Greene/Brooklyn Hts,2005,Percent,0.619,302
Bedford Stuyvesant,2005,Percent,0.482,303
Bushwick,2005,Percent,0.499,304
East New York,2005,Percent,0.48,305
Park Slope,2005,Percent,0.703,306
Sunset Park,2005,Percent,0.561,307
Crown Heights North,2005,Percent,0.549,308
Crown Heights South,2005,Percent,0.567,309
Bay Ridge,2005,Percent,0.586,310
Bensonhurst,2005,Percent,0.547,311
Borough Park,2005,Percent,0.466,312
Coney Island,2005,Percent,0.444,313
Flatbush/Midwood,2005,Percent,0.557,314
