"Name","Fair to Poor Housing"
"Description","Adults who rate their neighborhood housing conditions as fair or poor.&nbsp;"
"Source Notes","U.S. Census Bureau, Housing and Vacancy Survey, Microdata files (2002, 2005, 2008, 2011, 2014, 2017); retrieved from&nbsp;<a href=""https://www.census.gov/programs-surveys/nychvs.html"" target=""_blank"">https://www.census.gov/programs-surveys/nychvs.html</a>."
"Notes","In the Housing and Vacancy Survey (HVS), respondents are asked to rate the physical condition of the residential structures in their neighborhood, on a scale from ""excellent, good, fair, or poor."""

Location,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,2011,Percent,0.06548,101
Greenwich Village,2011,Percent,0.06548,102
Lower East Side,2011,Percent,0.35407,103
Chelsea/Clinton,2011,Percent,0.1495,104
Midtown Business District,2011,Percent,0.1495,105
Murray Hill/Stuyvesant,2011,Percent,0.04961,106
Upper West Side,2011,Percent,0.06071,107
Upper East Side,2011,Percent,0.06766,108
Manhattanville,2011,Percent,0.32759,109
Central Harlem,2011,Percent,0.4094,110
East Harlem,2011,Percent,0.49346,111
Washington Heights,2011,Percent,0.40649,112
Mott Haven,2011,Percent,0.50411,201
Hunts Point,2011,Percent,0.50411,202
Morrisania,2011,Percent,0.57981,203
Concourse/Highbridge,2011,Percent,0.45891,204
University Heights,2011,Percent,0.58881,205
East Tremont,2011,Percent,0.57981,206
Bedford Park,2011,Percent,0.45518,207
Riverdale,2011,Percent,0.24071,208
Unionport/Soundview,2011,Percent,0.44689,209
Throgs Neck,2011,Percent,0.18095,210
Pelham Parkway,2011,Percent,0.22521,211
Williamsbridge,2011,Percent,0.3613,212
Williamsburg/Greenpoint,2011,Percent,0.26184,301
Fort Greene/Brooklyn Hts,2011,Percent,0.19212,302
Bedford Stuyvesant,2011,Percent,0.33566,303
Bushwick,2011,Percent,0.46663,304
East New York,2011,Percent,0.46868,305
Park Slope,2011,Percent,0.12532,306
Sunset Park,2011,Percent,0.30624,307
Crown Heights North,2011,Percent,0.36218,308
Crown Heights South,2011,Percent,0.41646,309
Bay Ridge,2011,Percent,0.12739,310
Bensonhurst,2011,Percent,0.17257,311
Borough Park,2011,Percent,0.21114,312
Coney Island,2011,Percent,0.22678,313
Flatbush/Midwood,2011,Percent,0.31321,314
Sheepshead Bay,2011,Percent,0.1156,315
Brownsville,2011,Percent,0.57721,316
East Flatbush,2011,Percent,0.35719,317
Canarsie,2011,Percent,0.19912,318
Astoria,2011,Percent,0.17227,401
Sunnyside/Woodside,2011,Percent,0.12393,402
Jackson Heights,2011,Percent,0.21991,403
Elmhurst/Corona,2011,Percent,0.30946,404
Ridgewood/Glendale,2011,Percent,0.13801,405
Rego Park/Forest Hills,2011,Percent,0.068,406
Flushing,2011,Percent,0.11722,407
Fresh Meadows/Briarwood,2011,Percent,0.16163,408
Woodhaven,2011,Percent,0.2128,409
Howard Beach,2011,Percent,0.14921,410
Bayside,2011,Percent,0.02942,411
Jamaica/St. Albans,2011,Percent,0.38908,412
Queens Village,2011,Percent,0.12948,413
The Rockaways,2011,Percent,0.35393,414
St. George,2011,Percent,0.22532,501
South Beach,2011,Percent,0.10002,502
Tottenville,2011,Percent,0.02988,503
New York City,2011,Percent,0.24841,3651000
Manhattan,2011,Percent,0.18304,36061
Bronx,2011,Percent,0.43551,36005
Brooklyn,2011,Percent,0.2813,36047
Queens,2011,Percent,0.181,36081
