"Name","Occupied Public Housing and Rent Regulated Units"
"Description","Numbers and percents refer to the count and share of <em>all occupied rental units</em> for each geography. ""Rent Regulated"" includes any of the following building types: Rent-Stabilized pre- and post-1947, Rent-Controlled, HUD regulated (Section 8), Mitchell Lama rentals, and Article 4 or 5 buildings."
"Source Notes","U.S. Census Bureau, New York City Housing and Vacancy Survey (2002, 2005, 2008, 2011, 2014, &amp; 2017); Retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/hpd/about/nychvs.page"">https://www1.nyc.gov/site/hpd/about/nychvs.page</a>."
"Notes",""

Location,Housing Type,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,Public Housing,2002,Number,0,101
Battery Park/Tribeca,Rent Regulated,2002,Number,13139.80449,101
Greenwich Village,Public Housing,2002,Number,0,102
Greenwich Village,Rent Regulated,2002,Number,19397.03896,102
Lower East Side,Public Housing,2002,Number,16493.7485,103
Lower East Side,Rent Regulated,2002,Number,38123.60911,103
Chelsea/Clinton,Public Housing,2002,Number,1343.58767,104
Chelsea/Clinton,Rent Regulated,2002,Number,23526.96838,104
Midtown Business District,Public Housing,2002,Number,672.45102,105
Midtown Business District,Rent Regulated,2002,Number,11774.99189,105
Murray Hill/Stuyvesant,Public Housing,2002,Number,754.03239,106
Murray Hill/Stuyvesant,Rent Regulated,2002,Number,44461.74194,106
Upper West Side,Public Housing,2002,Number,4643.31152,107
Upper West Side,Rent Regulated,2002,Number,55653.6497,107
Upper East Side,Public Housing,2002,Number,3031.01217,108
Upper East Side,Rent Regulated,2002,Number,56884.01701,108
Manhattanville,Public Housing,2002,Number,4207.58974,109
Manhattanville,Rent Regulated,2002,Number,33652.34648,109
Central Harlem,Public Housing,2002,Number,3919.53192,110
Central Harlem,Rent Regulated,2002,Number,26675.18488,110
East Harlem,Public Housing,2002,Number,17435.37894,111
East Harlem,Rent Regulated,2002,Number,15989.10163,111
Washington Heights,Public Housing,2002,Number,2349.31123,112
Washington Heights,Rent Regulated,2002,Number,60627.80972,112
Mott Haven,Public Housing,2002,Number,7973.95853,201
Mott Haven,Rent Regulated,2002,Number,14933.26371,201
Hunts Point,Public Housing,2002,Number,4553.23603,202
Hunts Point,Rent Regulated,2002,Number,8527.09156,202
Morrisania,Public Housing,2002,Number,4014.17654,203
Morrisania,Rent Regulated,2002,Number,12958.46389,203
Concourse/Highbridge,Public Housing,2002,Number,1230.2391,204
Concourse/Highbridge,Rent Regulated,2002,Number,33889.00258,204
University Heights,Public Housing,2002,Number,1312.1205,205
University Heights,Rent Regulated,2002,Number,38415.61341,205
East Tremont,Public Housing,2002,Number,4190.62276,206
East Tremont,Rent Regulated,2002,Number,13528.06313,206
Bedford Park,Public Housing,2002,Number,540.04153,207
Bedford Park,Rent Regulated,2002,Number,36502.45864,207
Riverdale,Public Housing,2002,Number,819.96797,208
Riverdale,Rent Regulated,2002,Number,27294.64598,208
Unionport/Soundview,Public Housing,2002,Number,8082.37311,209
Unionport/Soundview,Rent Regulated,2002,Number,23767.69834,209
Throgs Neck,Public Housing,2002,Number,1727.26217,210
Throgs Neck,Rent Regulated,2002,Number,6298.10571,210
Pelham Parkway,Public Housing,2002,Number,3837.5085,211
Pelham Parkway,Rent Regulated,2002,Number,15427.95918,211
Williamsbridge,Public Housing,2002,Number,4375.89632,212
Williamsbridge,Rent Regulated,2002,Number,11086.23583,212
Williamsburg/Greenpoint,Public Housing,2002,Number,4619.49713,301
Williamsburg/Greenpoint,Rent Regulated,2002,Number,26732.31246,301
Fort Greene/Brooklyn Hts,Public Housing,2002,Number,4991.12785,302
Fort Greene/Brooklyn Hts,Rent Regulated,2002,Number,14854.2958,302
Bedford Stuyvesant,Public Housing,2002,Number,6637.74128,303
Bedford Stuyvesant,Rent Regulated,2002,Number,11695.09991,303
Bushwick,Public Housing,2002,Number,4210.98694,304
Bushwick,Rent Regulated,2002,Number,14338.19699,304
East New York,Public Housing,2002,Number,7394.06384,305
East New York,Rent Regulated,2002,Number,13188.84491,305
Park Slope,Public Housing,2002,Number,3048.9085,306
Park Slope,Rent Regulated,2002,Number,11659.63469,306
Sunset Park,Public Housing,2002,Number,0,307
Sunset Park,Rent Regulated,2002,Number,12443.50617,307
Crown Heights North,Public Housing,2002,Number,4981.74426,308
Crown Heights North,Rent Regulated,2002,Number,22974.09725,308
Crown Heights South,Public Housing,2002,Number,0,309
Crown Heights South,Rent Regulated,2002,Number,27460.62213,309
Bay Ridge,Public Housing,2002,Number,0,310
Bay Ridge,Rent Regulated,2002,Number,18084.07922,310
Bensonhurst,Public Housing,2002,Number,0,311
Bensonhurst,Rent Regulated,2002,Number,20457.81279,311
Borough Park,Public Housing,2002,Number,0,312
Borough Park,Rent Regulated,2002,Number,16305.38047,312
Coney Island,Public Housing,2002,Number,5737.73912,313
Coney Island,Rent Regulated,2002,Number,20271.65947,313
Flatbush/Midwood,Public Housing,2002,Number,0,314
Flatbush/Midwood,Rent Regulated,2002,Number,36078.37332,314
Sheepshead Bay,Public Housing,2002,Number,1455.43966,315
Sheepshead Bay,Rent Regulated,2002,Number,20456.79612,315
Brownsville,Public Housing,2002,Number,9476.84325,316
Brownsville,Rent Regulated,2002,Number,12030.88432,316
East Flatbush,Public Housing,2002,Number,0,317
East Flatbush,Rent Regulated,2002,Number,18582.96186,317
Canarsie,Public Housing,2002,Number,5340.01545,318
Canarsie,Rent Regulated,2002,Number,3876.05123,318
Astoria,Public Housing,2002,Number,7419.3237,401
Astoria,Rent Regulated,2002,Number,34070.3546,401
Sunnyside/Woodside,Public Housing,2002,Number,491.11401,402
Sunnyside/Woodside,Rent Regulated,2002,Number,25394.52395,402
Jackson Heights,Public Housing,2002,Number,0,403
Jackson Heights,Rent Regulated,2002,Number,15983.50647,403
Elmhurst/Corona,Public Housing,2002,Number,0,404
Elmhurst/Corona,Rent Regulated,2002,Number,20383.1574,404
Ridgewood/Glendale,Public Housing,2002,Number,0,405
Ridgewood/Glendale,Rent Regulated,2002,Number,9855.58208,405
Rego Park/Forest Hills,Public Housing,2002,Number,0,406
Rego Park/Forest Hills,Rent Regulated,2002,Number,23441.66688,406
Flushing,Public Housing,2002,Number,0,407
Flushing,Rent Regulated,2002,Number,24298.60316,407
Fresh Meadows/Briarwood,Public Housing,2002,Number,2449.55027,408
Fresh Meadows/Briarwood,Rent Regulated,2002,Number,20182.97244,408
Woodhaven,Public Housing,2002,Number,0,409
Woodhaven,Rent Regulated,2002,Number,9649.40875,409
Howard Beach,Public Housing,2002,Number,0,410
Howard Beach,Rent Regulated,2002,Number,2344.51552,410
Bayside,Public Housing,2002,Number,0,411
Bayside,Rent Regulated,2002,Number,2696.90028,411
Jamaica/St. Albans,Public Housing,2002,Number,1808.43538,412
Jamaica/St. Albans,Rent Regulated,2002,Number,12133.01218,412
Queens Village,Public Housing,2002,Number,0,413
Queens Village,Rent Regulated,2002,Number,3534.51082,413
The Rockaways,Public Housing,2002,Number,3849.41075,414
The Rockaways,Rent Regulated,2002,Number,11102.27896,414
St. George,Public Housing,2002,Number,2296.70402,501
St. George,Rent Regulated,2002,Number,9551.11859,501
South Beach,Public Housing,2002,Number,773.93061,502
South Beach,Rent Regulated,2002,Number,1160.19124,502
Tottenville,Public Housing,2002,Number,0,503
Tottenville,Rent Regulated,2002,Number,2807.13319,503
Bronx,Public Housing,2002,Number,42657.40306,36005
Bronx,Rent Regulated,2002,Number,242628.60196,36005
Brooklyn,Public Housing,2002,Number,57894.10728,36047
Brooklyn,Rent Regulated,2002,Number,321490.60911,36047
Manhattan,Public Housing,2002,Number,54849.9551,36061
Manhattan,Rent Regulated,2002,Number,399906.26419,36061
Queens,Public Housing,2002,Number,16017.83411,36081
Queens,Rent Regulated,2002,Number,215070.99349,36081
Staten Island,Public Housing,2002,Number,3070.63463,36085
Staten Island,Rent Regulated,2002,Number,13518.44302,36085
New York City,Public Housing,2002,Number,174489.93418,3651000
New York City,Rent Regulated,2002,Number,1192614.91177,3651000
Battery Park/Tribeca,Public Housing,2005,Number,0,101
Battery Park/Tribeca,Rent Regulated,2005,Number,11175.10742,101
Greenwich Village,Public Housing,2005,Number,0,102
Greenwich Village,Rent Regulated,2005,Number,16496.74423,102
Lower East Side,Public Housing,2005,Number,15172.57759,103
Lower East Side,Rent Regulated,2005,Number,34733.40068,103
Chelsea/Clinton,Public Housing,2005,Number,1420.49071,104
Chelsea/Clinton,Rent Regulated,2005,Number,24844.52787,104
Midtown Business District,Public Housing,2005,Number,710.94015,105
Midtown Business District,Rent Regulated,2005,Number,12434.41608,105
Murray Hill/Stuyvesant,Public Housing,2005,Number,777.6492,106
Murray Hill/Stuyvesant,Rent Regulated,2005,Number,38850.20234,106
Upper West Side,Public Housing,2005,Number,5883.30016,107
Upper West Side,Rent Regulated,2005,Number,52077.56913,107
Upper East Side,Public Housing,2005,Number,2324.47487,108
Upper East Side,Rent Regulated,2005,Number,48658.18076,108
Manhattanville,Public Housing,2005,Number,3919.00819,109
Manhattanville,Rent Regulated,2005,Number,30987.18301,109
Central Harlem,Public Housing,2005,Number,3778.60011,110
Central Harlem,Rent Regulated,2005,Number,28479.58563,110
East Harlem,Public Housing,2005,Number,15039.24541,111
East Harlem,Rent Regulated,2005,Number,19778.58493,111
Washington Heights,Public Housing,2005,Number,1633.81298,112
Washington Heights,Rent Regulated,2005,Number,58567.91477,112
Mott Haven,Public Housing,2005,Number,6939.45817,201
Mott Haven,Rent Regulated,2005,Number,17218.53589,201
Hunts Point,Public Housing,2005,Number,3962.52261,202
Hunts Point,Rent Regulated,2005,Number,9832.01226,202
