"Name","Overcrowded Rental Housing"
"Description","Occupied rental housing units with more than one person per room."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B25014 (2005-2019, 2021-2022); retrieved from <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","Please note, we do not report 2020 American Community Survey 1-year estimates. Due to disruptions and biases in data collection during 2020, the Census Bureau released the &ldquo;experimental&rdquo; 1-year estimates for 2020 and advises against comparing against estimates from prior or future years."

Location,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,2005,Percent,0.03794,101
Greenwich Village,2005,Percent,0.03794,102
Lower East Side,2005,Percent,0.08153,103
Chelsea/Clinton,2005,Percent,0.04339,104
Midtown Business District,2005,Percent,0.04339,105
Murray Hill/Stuyvesant,2005,Percent,0.03378,106
Upper West Side,2005,Percent,0.039,107
Upper East Side,2005,Percent,0.0236,108
Manhattanville,2005,Percent,0.06431,109
Central Harlem,2005,Percent,0.07432,110
East Harlem,2005,Percent,0.04756,111
Washington Heights,2005,Percent,0.13599,112
Mott Haven,2005,Percent,0.13178,201
Hunts Point,2005,Percent,0.13178,202
Morrisania,2005,Percent,0.1211,203
Concourse/Highbridge,2005,Percent,0.19445,204
University Heights,2005,Percent,0.17294,205
East Tremont,2005,Percent,0.1211,206
Bedford Park,2005,Percent,0.17518,207
Riverdale,2005,Percent,0.13722,208
Unionport/Soundview,2005,Percent,0.09366,209
Throgs Neck,2005,Percent,0.02689,210
Pelham Parkway,2005,Percent,0.10194,211
Williamsbridge,2005,Percent,0.09484,212
Williamsburg/Greenpoint,2005,Percent,0.10364,301
Fort Greene/Brooklyn Hts,2005,Percent,0.07403,302
Bedford Stuyvesant,2005,Percent,0.09432,303
Bushwick,2005,Percent,0.12808,304
East New York,2005,Percent,0.06351,305
Park Slope,2005,Percent,0.04159,306
Sunset Park,2005,Percent,0.15013,307
Crown Heights North,2005,Percent,0.07016,308
Crown Heights South,2005,Percent,0.1082,309
Bay Ridge,2005,Percent,0.0908,310
Bensonhurst,2005,Percent,0.10629,311
Borough Park,2005,Percent,0.20373,312
Coney Island,2005,Percent,0.05411,313
Flatbush/Midwood,2005,Percent,0.14444,314
Sheepshead Bay,2005,Percent,0.08925,315
Brownsville,2005,Percent,0.07882,316
East Flatbush,2005,Percent,0.0938,317
Canarsie,2005,Percent,0.08061,318
Astoria,2005,Percent,0.09917,401
Sunnyside/Woodside,2005,Percent,0.11454,402
Jackson Heights,2005,Percent,0.22243,403
Elmhurst/Corona,2005,Percent,0.1698,404
Ridgewood/Glendale,2005,Percent,0.0743,405
Rego Park/Forest Hills,2005,Percent,0.07745,406
Flushing,2005,Percent,0.12697,407
Fresh Meadows/Briarwood,2005,Percent,0.0822,408
Woodhaven,2005,Percent,0.12414,409
Howard Beach,2005,Percent,0.05547,410
Bayside,2005,Percent,0.0738,411
Jamaica/St. Albans,2005,Percent,0.10876,412
Queens Village,2005,Percent,0.04133,413
The Rockaways,2005,Percent,0.07363,414
St. George,2005,Percent,0.09607,501
South Beach,2005,Percent,0.10205,502
Bronx,2005,Percent,0.13138,36005
Brooklyn,2005,Percent,0.09868,36047
Manhattan,2005,Percent,0.0585,36061
Queens,2005,Percent,0.11195,36081
Staten Island,2005,Percent,0.0864,36085
New York City,2005,Percent,0.09594,3651000
Battery Park/Tribeca,2006,Percent,0.05946,101
Greenwich Village,2006,Percent,0.05946,102
Lower East Side,2006,Percent,0.09846,103
Chelsea/Clinton,2006,Percent,0.04292,104
Midtown Business District,2006,Percent,0.04292,105
Murray Hill/Stuyvesant,2006,Percent,0.0381,106
Upper West Side,2006,Percent,0.04164,107
Upper East Side,2006,Percent,0.03614,108
Manhattanville,2006,Percent,0.05253,109
Central Harlem,2006,Percent,0.10878,110
East Harlem,2006,Percent,0.121,111
Washington Heights,2006,Percent,0.11894,112
Mott Haven,2006,Percent,0.10821,201
Hunts Point,2006,Percent,0.10821,202
Morrisania,2006,Percent,0.13861,203
Concourse/Highbridge,2006,Percent,0.1588,204
University Heights,2006,Percent,0.1627,205
East Tremont,2006,Percent,0.13861,206
Bedford Park,2006,Percent,0.10863,207
Riverdale,2006,Percent,0.09304,208
Unionport/Soundview,2006,Percent,0.11599,209
Throgs Neck,2006,Percent,0.03294,210
Pelham Parkway,2006,Percent,0.11353,211
Williamsbridge,2006,Percent,0.10211,212
Williamsburg/Greenpoint,2006,Percent,0.10763,301
Fort Greene/Brooklyn Hts,2006,Percent,0.04479,302
Bedford Stuyvesant,2006,Percent,0.10692,303
Bushwick,2006,Percent,0.16512,304
East New York,2006,Percent,0.07435,305
Park Slope,2006,Percent,0.06582,306
Sunset Park,2006,Percent,0.18907,307
Crown Heights North,2006,Percent,0.08782,308
Crown Heights South,2006,Percent,0.09833,309
Bay Ridge,2006,Percent,0.08583,310
Bensonhurst,2006,Percent,0.11393,311
Borough Park,2006,Percent,0.18009,312
Coney Island,2006,Percent,0.09946,313
Flatbush/Midwood,2006,Percent,0.13837,314
Sheepshead Bay,2006,Percent,0.11393,315
Brownsville,2006,Percent,0.07034,316
East Flatbush,2006,Percent,0.10704,317
Canarsie,2006,Percent,0.06517,318
Astoria,2006,Percent,0.10413,401
Sunnyside/Woodside,2006,Percent,0.16991,402
Jackson Heights,2006,Percent,0.22264,403
Elmhurst/Corona,2006,Percent,0.2068,404
Ridgewood/Glendale,2006,Percent,0.06144,405
Rego Park/Forest Hills,2006,Percent,0.0653,406
Flushing,2006,Percent,0.12011,407
Fresh Meadows/Briarwood,2006,Percent,0.08171,408
Woodhaven,2006,Percent,0.0983,409
Howard Beach,2006,Percent,0.09213,410
Bayside,2006,Percent,0.0974,411
Jamaica/St. Albans,2006,Percent,0.1013,412
Queens Village,2006,Percent,0.08795,413
The Rockaways,2006,Percent,0.17345,414
St. George,2006,Percent,0.06052,501
South Beach,2006,Percent,0.03203,502
Tottenville,2006,Percent,0.05212,503
Bronx,2006,Percent,0.12025,36005
Brooklyn,2006,Percent,0.10736,36047
Manhattan,2006,Percent,0.06969,36061
Queens,2006,Percent,0.12381,36081
Staten Island,2006,Percent,0.05115,36085
New York City,2006,Percent,0.10115,3651000
Battery Park/Tribeca,2007,Percent,0.04333,101
Greenwich Village,2007,Percent,0.04333,102
Lower East Side,2007,Percent,0.09297,103
Chelsea/Clinton,2007,Percent,0.04336,104
Midtown Business District,2007,Percent,0.04336,105
Murray Hill/Stuyvesant,2007,Percent,0.05197,106
Upper West Side,2007,Percent,0.04631,107
Upper East Side,2007,Percent,0.02717,108
Manhattanville,2007,Percent,0.06211,109
Central Harlem,2007,Percent,0.06872,110
East Harlem,2007,Percent,0.10436,111
Washington Heights,2007,Percent,0.10932,112
Mott Haven,2007,Percent,0.15023,201
Hunts Point,2007,Percent,0.15023,202
Morrisania,2007,Percent,0.12896,203
Concourse/Highbridge,2007,Percent,0.20276,204
University Heights,2007,Percent,0.17731,205
East Tremont,2007,Percent,0.12896,206
Bedford Park,2007,Percent,0.15653,207
Riverdale,2007,Percent,0.10002,208
Unionport/Soundview,2007,Percent,0.09309,209
Throgs Neck,2007,Percent,0.02847,210
Pelham Parkway,2007,Percent,0.08455,211
Williamsbridge,2007,Percent,0.09737,212
Williamsburg/Greenpoint,2007,Percent,0.08154,301
Fort Greene/Brooklyn Hts,2007,Percent,0.04264,302
Bedford Stuyvesant,2007,Percent,0.07079,303
Bushwick,2007,Percent,0.156,304
East New York,2007,Percent,0.0637,305
Park Slope,2007,Percent,0.04311,306
Sunset Park,2007,Percent,0.23175,307
Crown Heights North,2007,Percent,0.06561,308
Crown Heights South,2007,Percent,0.10481,309
Bay Ridge,2007,Percent,0.07807,310
Bensonhurst,2007,Percent,0.10796,311
Borough Park,2007,Percent,0.24709,312
Coney Island,2007,Percent,0.05694,313
Flatbush/Midwood,2007,Percent,0.17191,314
Sheepshead Bay,2007,Percent,0.10419,315
Brownsville,2007,Percent,0.08675,316
East Flatbush,2007,Percent,0.08776,317
Canarsie,2007,Percent,0.05194,318
Astoria,2007,Percent,0.08467,401
Sunnyside/Woodside,2007,Percent,0.13888,402
Jackson Heights,2007,Percent,0.22161,403
Elmhurst/Corona,2007,Percent,0.18897,404
Ridgewood/Glendale,2007,Percent,0.06827,405
Rego Park/Forest Hills,2007,Percent,0.06596,406
Flushing,2007,Percent,0.12043,407
Fresh Meadows/Briarwood,2007,Percent,0.12777,408
Woodhaven,2007,Percent,0.12911,409
Howard Beach,2007,Percent,0.11138,410
Bayside,2007,Percent,0.07985,411
