"Name","Residential Units by Building Type"
"Description","Building type refers to the land use categories based on the classification from New York City's Department of City Planning/Department of Finance; read more here:&nbsp;<a href=""https://www1.nyc.gov/assets/planning/download/pdf/data-maps/open-data/pluto_datadictionary.pdf?r=16v2"">https://www1.nyc.gov/assets/planning/download/pdf/data-maps/open-data/pluto_datadictionary.pdf?r=16v2</a>."
"Source Notes","CCC analysis of NYC Pluto Data Downloader, version 2018v2. Retrieved from&nbsp;<a href=""https://chriswhong.github.io/plutoplus/"">https://chriswhong.github.io/plutoplus/</a>."
"Notes",""

Location,Building Type,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,One and Two Family,2018,Number,37,101
Greenwich Village,One and Two Family,2018,Number,851,102
Lower East Side,One and Two Family,2018,Number,103,103
Chelsea/Clinton,One and Two Family,2018,Number,239,104
Midtown Business District,One and Two Family,2018,Number,26,105
Murray Hill/Stuyvesant,One and Two Family,2018,Number,356,106
Upper West Side,One and Two Family,2018,Number,664,107
Upper East Side,One and Two Family,2018,Number,1304,108
Manhattanville,One and Two Family,2018,Number,636,109
Central Harlem,One and Two Family,2018,Number,1024,110
East Harlem,One and Two Family,2018,Number,175,111
Washington Heights,One and Two Family,2018,Number,276,112
Mott Haven,One and Two Family,2018,Number,1867,201
Hunts Point,One and Two Family,2018,Number,1466,202
Morrisania,One and Two Family,2018,Number,2018,203
Concourse/Highbridge,One and Two Family,2018,Number,1326,204
University Heights,One and Two Family,2018,Number,2054,205
East Tremont,One and Two Family,2018,Number,2229,206
Bedford Park,One and Two Family,2018,Number,2046,207
Riverdale,One and Two Family,2018,Number,4108,208
Unionport/Soundview,One and Two Family,2018,Number,10515,209
Throgs Neck,One and Two Family,2018,Number,17519,210
Pelham Parkway,One and Two Family,2018,Number,14471,211
Williamsbridge,One and Two Family,2018,Number,22840,212
Williamsburg/Greenpoint,One and Two Family,2018,Number,4679,301
Fort Greene/Brooklyn Hts,One and Two Family,2018,Number,4212,302
