"Name","Concentrated Poverty"
"Description","The total population living in extreme-poverty neighborhoods. Extreme-poverty neighborhoods are census tracts with poverty rates of 40 percent or higher."
"Source Notes","U.S. Census Bureau, American Community Survey 5-Year Estimates, Table S1701 (2010-2020); retrieved from <a href=""https://data.census.gov/"">https://data.census.gov/</a><a href=""http://factfinder2.census.gov/"" target=""_blank""></a>."
"Notes","Percents refer to percent of total population."

Location,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,2010,Number,0,101
Greenwich Village,2010,Number,0,102
Lower East Side,2010,Number,13484,103
Chelsea/Clinton,2010,Number,503.99714,104
Midtown Business District,2010,Number,744.00286,105
Murray Hill/Stuyvesant,2010,Number,0,106
Upper West Side,2010,Number,0,107
Upper East Side,2010,Number,0,108
Manhattanville,2010,Number,9268,109
Central Harlem,2010,Number,21137,110
East Harlem,2010,Number,18749,111
Washington Heights,2010,Number,1601,112
Mott Haven,2010,Number,59369.96366,201
Hunts Point,2010,Number,33901.03634,202
Morrisania,2010,Number,41209.30663,203
Concourse/Highbridge,2010,Number,47793,204
University Heights,2010,Number,60583,205
East Tremont,2010,Number,43020.69337,206
Bedford Park,2010,Number,25733,207
Riverdale,2010,Number,0,208
Unionport/Soundview,2010,Number,8170,209
Throgs Neck,2010,Number,0,210
Pelham Parkway,2010,Number,0,211
Williamsbridge,2010,Number,59,212
Williamsburg/Greenpoint,2010,Number,42541,301
Fort Greene/Brooklyn Hts,2010,Number,6694,302
Bedford Stuyvesant,2010,Number,37364,303
Bushwick,2010,Number,15025,304
East New York,2010,Number,21987,305
Park Slope,2010,Number,7737,306
Sunset Park,2010,Number,3784,307
Crown Heights North,2010,Number,9576,308
Crown Heights South,2010,Number,845,309
Bay Ridge,2010,Number,0,310
Bensonhurst,2010,Number,0,311
Borough Park,2010,Number,18215,312
Coney Island,2010,Number,857,313
Flatbush/Midwood,2010,Number,2359,314
Sheepshead Bay,2010,Number,4808,315
Brownsville,2010,Number,43698,316
East Flatbush,2010,Number,0,317
Canarsie,2010,Number,7245,318
Astoria,2010,Number,3905,401
Sunnyside/Woodside,2010,Number,0,402
Jackson Heights,2010,Number,0,403
Elmhurst/Corona,2010,Number,0,404
Ridgewood/Glendale,2010,Number,1349,405
Rego Park/Forest Hills,2010,Number,0,406
Flushing,2010,Number,0,407
Fresh Meadows/Briarwood,2010,Number,0,408
Woodhaven,2010,Number,0,409
Howard Beach,2010,Number,0,410
Bayside,2010,Number,0,411
Jamaica/St. Albans,2010,Number,0,412
Queens Village,2010,Number,0,413
The Rockaways,2010,Number,9840,414
St. George,2010,Number,1445,501
South Beach,2010,Number,0,502
Tottenville,2010,Number,0,503
Bronx,2010,Number,319839,36005
Brooklyn,2010,Number,222735,36047
Manhattan,2010,Number,65487,36061
Queens,2010,Number,15094,36081
Staten Island,2010,Number,1445,36085
New York City,2010,Number,624600,3651000
Battery Park/Tribeca,2010,Percent,0,101
Greenwich Village,2010,Percent,0,102
Lower East Side,2010,Percent,0.08389,103
Chelsea/Clinton,2010,Percent,0.00935,104
Midtown Business District,2010,Percent,0.00935,105
Murray Hill/Stuyvesant,2010,Percent,0,106
Upper West Side,2010,Percent,0,107
Upper East Side,2010,Percent,0,108
Manhattanville,2010,Percent,0.08062,109
Central Harlem,2010,Percent,0.17635,110
East Harlem,2010,Percent,0.15483,111
Washington Heights,2010,Percent,0.00771,112
Mott Haven,2010,Percent,0.67257,201
Hunts Point,2010,Percent,0.67257,202
Morrisania,2010,Percent,0.57705,203
Concourse/Highbridge,2010,Percent,0.35593,204
University Heights,2010,Percent,0.45396,205
East Tremont,2010,Percent,0.57705,206
Bedford Park,2010,Percent,0.21259,207
Riverdale,2010,Percent,0,208
Unionport/Soundview,2010,Percent,0.04613,209
Throgs Neck,2010,Percent,0,210
Pelham Parkway,2010,Percent,0,211
Williamsbridge,2010,Percent,0.00041,212
Williamsburg/Greenpoint,2010,Percent,0.30032,301
Fort Greene/Brooklyn Hts,2010,Percent,0.06015,302
Bedford Stuyvesant,2010,Percent,0.28956,303
Bushwick,2010,Percent,0.11742,304
East New York,2010,Percent,0.14475,305
Park Slope,2010,Percent,0.06967,306
Sunset Park,2010,Percent,0.02621,307
Crown Heights North,2010,Percent,0.07968,308
Crown Heights South,2010,Percent,0.008,309
Bay Ridge,2010,Percent,0,310
Bensonhurst,2010,Percent,0,311
Borough Park,2010,Percent,0.11348,312
Coney Island,2010,Percent,0.00823,313
Flatbush/Midwood,2010,Percent,0.0151,314
Sheepshead Bay,2010,Percent,0.03467,315
Brownsville,2010,Percent,0.39272,316
East Flatbush,2010,Percent,0,317
Canarsie,2010,Percent,0.03603,318
Astoria,2010,Percent,0.02274,401
Sunnyside/Woodside,2010,Percent,0,402
Jackson Heights,2010,Percent,0,403
Elmhurst/Corona,2010,Percent,0,404
Ridgewood/Glendale,2010,Percent,0.00803,405
Rego Park/Forest Hills,2010,Percent,0,406
Flushing,2010,Percent,0,407
Fresh Meadows/Briarwood,2010,Percent,0,408
Woodhaven,2010,Percent,0,409
Howard Beach,2010,Percent,0,410
Bayside,2010,Percent,0,411
Jamaica/St. Albans,2010,Percent,0,412
Queens Village,2010,Percent,0,413
The Rockaways,2010,Percent,0.09187,414
St. George,2010,Percent,0.00875,501
South Beach,2010,Percent,0,502
Tottenville,2010,Percent,0,503
Bronx,2010,Percent,0.24095,36005
Brooklyn,2010,Percent,0.0911,36047
Manhattan,2010,Percent,0.04249,36061
Queens,2010,Percent,0.00693,36081
Staten Island,2010,Percent,0.00318,36085
New York City,2010,Percent,0.0786,3651000
Battery Park/Tribeca,2011,Number,0,101
Greenwich Village,2011,Number,0,102
Lower East Side,2011,Number,12907,103
Chelsea/Clinton,2011,Number,446.65131,104
Midtown Business District,2011,Number,659.34869,105
Murray Hill/Stuyvesant,2011,Number,0,106
Upper West Side,2011,Number,0,107
Upper East Side,2011,Number,0,108
Manhattanville,2011,Number,5871,109
Central Harlem,2011,Number,19278,110
East Harlem,2011,Number,14853,111
Washington Heights,2011,Number,0,112
Mott Haven,2011,Number,57263.67972,201
Hunts Point,2011,Number,32698.32028,202
Morrisania,2011,Number,39390.77413,203
Concourse/Highbridge,2011,Number,39698,204
University Heights,2011,Number,61127,205
East Tremont,2011,Number,41122.22587,206
Bedford Park,2011,Number,15072,207
Riverdale,2011,Number,11903,208
Unionport/Soundview,2011,Number,11691,209
Throgs Neck,2011,Number,0,210
Pelham Parkway,2011,Number,0,211
Williamsbridge,2011,Number,0,212
Williamsburg/Greenpoint,2011,Number,41717,301
Fort Greene/Brooklyn Hts,2011,Number,10223,302
Bedford Stuyvesant,2011,Number,39081,303
Bushwick,2011,Number,13366,304
East New York,2011,Number,25113,305
Park Slope,2011,Number,7904,306
Sunset Park,2011,Number,1410,307
Crown Heights North,2011,Number,12052,308
Crown Heights South,2011,Number,1040,309
Bay Ridge,2011,Number,2981,310
Bensonhurst,2011,Number,0,311
Borough Park,2011,Number,24272,312
Coney Island,2011,Number,6642,313
Flatbush/Midwood,2011,Number,0,314
Sheepshead Bay,2011,Number,4774,315
Brownsville,2011,Number,42887,316
East Flatbush,2011,Number,0,317
Canarsie,2011,Number,7353,318
Astoria,2011,Number,3721,401
Sunnyside/Woodside,2011,Number,0,402
Jackson Heights,2011,Number,0,403
Elmhurst/Corona,2011,Number,0,404
Ridgewood/Glendale,2011,Number,1599,405
Rego Park/Forest Hills,2011,Number,0,406
Flushing,2011,Number,0,407
Fresh Meadows/Briarwood,2011,Number,6510,408
Woodhaven,2011,Number,0,409
Howard Beach,2011,Number,0,410
Bayside,2011,Number,26,411
Jamaica/St. Albans,2011,Number,86,412
Queens Village,2011,Number,0,413
The Rockaways,2011,Number,9626,414
St. George,2011,Number,1573,501
South Beach,2011,Number,0,502
Tottenville,2011,Number,0,503
Bronx,2011,Number,309966,36005
Brooklyn,2011,Number,240815,36047
Manhattan,2011,Number,54015,36061
Queens,2011,Number,21568,36081
Staten Island,2011,Number,1573,36085
New York City,2011,Number,627937,3651000
Battery Park/Tribeca,2011,Percent,0,101
Greenwich Village,2011,Percent,0,102
Lower East Side,2011,Percent,0.08156,103
Chelsea/Clinton,2011,Percent,0.00816,104
Midtown Business District,2011,Percent,0.00816,105
Murray Hill/Stuyvesant,2011,Percent,0,106
Upper West Side,2011,Percent,0,107
Upper East Side,2011,Percent,0,108
Manhattanville,2011,Percent,0.05009,109
Central Harlem,2011,Percent,0.15881,110
East Harlem,2011,Percent,0.12453,111
Washington Heights,2011,Percent,0,112
Mott Haven,2011,Percent,0.64016,201
Hunts Point,2011,Percent,0.64016,202
Morrisania,2011,Percent,0.53721,203
Concourse/Highbridge,2011,Percent,0.28875,204
University Heights,2011,Percent,0.46639,205
East Tremont,2011,Percent,0.53721,206
Bedford Park,2011,Percent,0.12441,207
Riverdale,2011,Percent,0.11741,208
Unionport/Soundview,2011,Percent,0.06561,209
Throgs Neck,2011,Percent,0,210
Pelham Parkway,2011,Percent,0,211
Williamsbridge,2011,Percent,0,212
Williamsburg/Greenpoint,2011,Percent,0.29176,301
Fort Greene/Brooklyn Hts,2011,Percent,0.08949,302
Bedford Stuyvesant,2011,Percent,0.30208,303
