"Name","Families with Children Entering Homeless Shelters (Legacy Data)"
"Description","The number of families entering Department of Homeless Services family shelters. Community District data represent family's last Community District of residence."
"Source Notes","New York City Department of Homeless Services, unpublished data (Fiscal Years 2005-2015); Mayor's Management Report, Department of Homeless Services (Fiscal Years 2016-2021); Retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/operations/performance/mmr.page"" target=""_blank"">https://www1.nyc.gov/site/operations/performance/mmr.page</a>"
"Notes","<strong>These data are no longer reported.</strong>&nbsp;In 2016, CCC stopped receiving these data on the Community District level. Totals for the city are reported from the Mayors Management Report. Community District level data on Families in Shelter are available in our new indicator,&nbsp;<a href=""https://data.cccnewyork.org/data/map/1308/families-in-homeless-shelters#1308/a/3/1523/25/a"" target=""_blank"">Families with Children in Homeless Shelters</a>.&nbsp;<br />
<br />
Rate refer to the number of families entering Department of Homeless Services family shelters per 1,000 households in that district.<br />
<br />"

Location,TimeFrame,DataFormat,Data,Fips
New York City,2005,Rate,2.75792,3651000
New York City,2005,Number,8346,3651000
Manhattan,2005,Rate,1.73767,36061
Manhattan,2005,Number,1271,36061
Battery Park/Tribeca,2005,Number,9,101
Battery Park/Tribeca,2005,Rate,0.35641,101
Greenwich Village,2005,Rate,0.27669,102
Greenwich Village,2005,Number,12,102
Lower East Side,2005,Number,131,103
Lower East Side,2005,Rate,1.92616,103
Chelsea/Clinton,2005,Rate,1.20583,104
Chelsea/Clinton,2005,Number,62,104
Midtown Business District,2005,Number,21,105
Midtown Business District,2005,Rate,0.83626,105
Murray Hill/Stuyvesant,2005,Rate,0.2233,106
Murray Hill/Stuyvesant,2005,Number,19,106
Upper West Side,2005,Number,70,107
Upper West Side,2005,Rate,0.67305,107
Upper East Side,2005,Rate,0.07934,108
Upper East Side,2005,Number,9,108
Manhattanville,2005,Number,156,109
Manhattanville,2005,Rate,3.33163,109
Central Harlem,2005,Rate,6.50919,110
Central Harlem,2005,Number,310,110
East Harlem,2005,Number,291,111
East Harlem,2005,Rate,6.41676,111
Washington Heights,2005,Rate,2.38327,112
Washington Heights,2005,Number,181,112
Bronx,2005,Number,2975,36005
Bronx,2005,Rate,6.35399,36005
Mott Haven,2005,Number,329,201
Mott Haven,2005,Rate,10.77009,201
Hunts Point,2005,Rate,9.99501,202
Hunts Point,2005,Number,169,202
Morrisania,2005,Number,316,203
Morrisania,2005,Rate,13.05002,203
Concourse/Highbridge,2005,Rate,18.49745,204
Concourse/Highbridge,2005,Number,463,204
University Heights,2005,Number,411,205
University Heights,2005,Rate,9.00013,205
East Tremont,2005,Rate,7.03938,206
East Tremont,2005,Number,311,206
Bedford Park,2005,Number,236,207
Bedford Park,2005,Rate,5.23746,207
Riverdale,2005,Rate,1.38379,208
Riverdale,2005,Number,55,208
