"Name","Tier II Homeless Shelter Capacity"
"Description","Capacity of Department of Homeless Services Tier II shelters."
"Source Notes","New York City Department of Homeless Services, unpublished data (fiscal years 2004, 2005, 2007, 2008, 2009, 2010, 2011).New York City Department of Homeless Services"
"Notes",""

Location,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,2004,Number,0,101
Greenwich Village,2004,Number,0,102
Lower East Side,2004,Number,222,103
Chelsea/Clinton,2004,Number,171,104
Midtown Business District,2004,Number,92,105
Murray Hill/Stuyvesant,2004,Number,15,106
Upper West Side,2004,Number,199,107
Upper East Side,2004,Number,0,108
Manhattanville,2004,Number,79,109
Central Harlem,2004,Number,191,110
East Harlem,2004,Number,116,111
Washington Heights,2004,Number,0,112
Mott Haven,2004,Number,210,201
Hunts Point,2004,Number,239,202
Morrisania,2004,Number,87,203
Concourse/Highbridge,2004,Number,309,204
University Heights,2004,Number,153,205
East Tremont,2004,Number,212,206
Bedford Park,2004,Number,97,207
Riverdale,2004,Number,0,208
Unionport/Soundview,2004,Number,18,209
Throgs Neck,2004,Number,0,210
Pelham Parkway,2004,Number,0,211
Williamsbridge,2004,Number,0,212
Williamsburg/Greenpoint,2004,Number,0,301
Fort Greene/Brooklyn Hts,2004,Number,44,302
Bedford Stuyvesant,2004,Number,17,303
Bushwick,2004,Number,88,304
East New York,2004,Number,429,305
Park Slope,2004,Number,48,306
Sunset Park,2004,Number,11,307
Crown Heights North,2004,Number,114,308
Crown Heights South,2004,Number,0,309
Bay Ridge,2004,Number,0,310
Bensonhurst,2004,Number,0,311
Borough Park,2004,Number,0,312
Coney Island,2004,Number,0,313
Flatbush/Midwood,2004,Number,0,314
Sheepshead Bay,2004,Number,0,315
Brownsville,2004,Number,382,316
East Flatbush,2004,Number,4,317
Canarsie,2004,Number,98,318
Astoria,2004,Number,0,401
Sunnyside/Woodside,2004,Number,0,402
Jackson Heights,2004,Number,0,403
Elmhurst/Corona,2004,Number,0,404
Ridgewood/Glendale,2004,Number,0,405
Rego Park/Forest Hills,2004,Number,0,406
Flushing,2004,Number,0,407
Fresh Meadows/Briarwood,2004,Number,91,408
Woodhaven,2004,Number,0,409
Howard Beach,2004,Number,0,410
Bayside,2004,Number,0,411
Jamaica/St. Albans,2004,Number,342,412
Queens Village,2004,Number,307,413
The Rockaways,2004,Number,0,414
St. George,2004,Number,46,501
South Beach,2004,Number,0,502
Tottenville,2004,Number,0,503
Manhattan,2004,Number,1085,36061
Bronx,2004,Number,1325,36005
Brooklyn,2004,Number,1235,36047
Queens,2004,Number,740,36081
Staten Island,2004,Number,46,36085
New York City,2004,Number,4431,3651000
Battery Park/Tribeca,2005,Number,0,101
Greenwich Village,2005,Number,0,102
Lower East Side,2005,Number,222,103
Chelsea/Clinton,2005,Number,171,104
Midtown Business District,2005,Number,92,105
Murray Hill/Stuyvesant,2005,Number,0,106
Upper West Side,2005,Number,199,107
Upper East Side,2005,Number,0,108
Manhattanville,2005,Number,79,109
Central Harlem,2005,Number,210,110
East Harlem,2005,Number,103,111
Washington Heights,2005,Number,0,112
Mott Haven,2005,Number,213,201
Hunts Point,2005,Number,239,202
Morrisania,2005,Number,174,203
Concourse/Highbridge,2005,Number,309,204
University Heights,2005,Number,153,205
East Tremont,2005,Number,212,206
Bedford Park,2005,Number,91,207
Riverdale,2005,Number,0,208
Unionport/Soundview,2005,Number,18,209
Throgs Neck,2005,Number,0,210
Pelham Parkway,2005,Number,0,211
Williamsbridge,2005,Number,88,212
Williamsburg/Greenpoint,2005,Number,0,301
Fort Greene/Brooklyn Hts,2005,Number,44,302
Bedford Stuyvesant,2005,Number,33,303
Bushwick,2005,Number,187,304
East New York,2005,Number,410,305
Park Slope,2005,Number,48,306
Sunset Park,2005,Number,6,307
Crown Heights North,2005,Number,114,308
Crown Heights South,2005,Number,33,309
Bay Ridge,2005,Number,0,310
Bensonhurst,2005,Number,0,311
Borough Park,2005,Number,0,312
Coney Island,2005,Number,0,313
Flatbush/Midwood,2005,Number,0,314
Sheepshead Bay,2005,Number,0,315
Brownsville,2005,Number,454,316
East Flatbush,2005,Number,0,317
Canarsie,2005,Number,98,318
Astoria,2005,Number,0,401
Sunnyside/Woodside,2005,Number,0,402
Jackson Heights,2005,Number,0,403
Elmhurst/Corona,2005,Number,0,404
Ridgewood/Glendale,2005,Number,0,405
Rego Park/Forest Hills,2005,Number,0,406
Flushing,2005,Number,0,407
Fresh Meadows/Briarwood,2005,Number,91,408
Woodhaven,2005,Number,0,409
Howard Beach,2005,Number,0,410
Bayside,2005,Number,0,411
Jamaica/St. Albans,2005,Number,65,412
Queens Village,2005,Number,307,413
The Rockaways,2005,Number,0,414
St. George,2005,Number,46,501
South Beach,2005,Number,0,502
Tottenville,2005,Number,0,503
Manhattan,2005,Number,1076,36061
Bronx,2005,Number,1497,36005
Brooklyn,2005,Number,1427,36047
Queens,2005,Number,463,36081
Staten Island,2005,Number,46,36085
New York City,2005,Number,4509,3651000
Battery Park/Tribeca,2007,Number,0,101
Greenwich Village,2007,Number,0,102
Lower East Side,2007,Number,223,103
Chelsea/Clinton,2007,Number,113,104
Midtown Business District,2007,Number,92,105
Murray Hill/Stuyvesant,2007,Number,0,106
Upper West Side,2007,Number,197,107
Upper East Side,2007,Number,0,108
Manhattanville,2007,Number,0,109
Central Harlem,2007,Number,58,110
East Harlem,2007,Number,90,111
Washington Heights,2007,Number,0,112
Mott Haven,2007,Number,215,201
Hunts Point,2007,Number,162,202
Morrisania,2007,Number,174,203
