Neighborhood,Year,Number of Rent Regulated Housing
Battery Park/Tribeca,2002,13139.80449
Greenwich Village,2002,19397.03896
Lower East Side,2002,38123.60911
Chelsea/Clinton,2002,23526.96838
Midtown Business District,2002,11774.99189
Murray Hill/Stuyvesant,2002,44461.74194
Upper West Side,2002,55653.6497
Upper East Side,2002,56884.01701
Manhattanville,2002,33652.34648
Central Harlem,2002,26675.18488
East Harlem,2002,15989.10163
Washington Heights,2002,60627.80972
Mott Haven,2002,14933.26371
Hunts Point,2002,8527.09156
Morrisania,2002,12958.46389
Concourse/Highbridge,2002,33889.00258
University Heights,2002,38415.61341
East Tremont,2002,13528.06313
Bedford Park,2002,36502.45864
Riverdale,2002,27294.64598
Unionport/Soundview,2002,23767.69834
Throgs Neck,2002,6298.10571
Pelham Parkway,2002,15427.95918
Williamsbridge,2002,11086.23583
Williamsburg/Greenpoint,2002,26732.31246
Fort Greene/Brooklyn Hts,2002,14854.2958
Bedford Stuyvesant,2002,11695.09991
Bushwick,2002,14338.19699
East New York,2002,13188.84491
Park Slope,2002,11659.63469
Sunset Park,2002,12443.50617
Crown Heights North,2002,22974.09725
Crown Heights South,2002,27460.62213
Bay Ridge,2002,18084.07922
Bensonhurst,2002,20457.81279
Borough Park,2002,16305.38047
Coney Island,2002,20271.65947
Flatbush/Midwood,2002,36078.37332
Sheepshead Bay,2002,20456.79612
Brownsville,2002,12030.88432
East Flatbush,2002,18582.96186
Canarsie,2002,3876.05123
Astoria,2002,34070.3546
Sunnyside/Woodside,2002,25394.52395
Jackson Heights,2002,15983.50647
Elmhurst/Corona,2002,20383.1574
Ridgewood/Glendale,2002,9855.58208
Rego Park/Forest Hills,2002,23441.66688
Flushing,2002,24298.60316
Fresh Meadows/Briarwood,2002,20182.97244
Woodhaven,2002,9649.40875
Howard Beach,2002,2344.51552
Bayside,2002,2696.90028
Jamaica/St. Albans,2002,12133.01218
Queens Village,2002,3534.51082
The Rockaways,2002,11102.27896
St. George,2002,9551.11859
South Beach,2002,1160.19124
Tottenville,2002,2807.13319
Bronx,2002,242628.60196
Brooklyn,2002,321490.60911
Manhattan,2002,399906.26419
Queens,2002,215070.99349
Staten Island,2002,13518.44302
New York City,2002,1192614.91177
Battery Park/Tribeca,2005,11175.10742
Greenwich Village,2005,16496.74423
Lower East Side,2005,34733.40068
Chelsea/Clinton,2005,24844.52787
Midtown Business District,2005,12434.41608
Murray Hill/Stuyvesant,2005,38850.20234
Upper West Side,2005,52077.56913
Upper East Side,2005,48658.18076
Manhattanville,2005,30987.18301
Central Harlem,2005,28479.58563
East Harlem,2005,19778.58493
Washington Heights,2005,58567.91477
Mott Haven,2005,17218.53589
Hunts Point,2005,9832.01226
Morrisania,2005,14681.2547
Concourse/Highbridge,2005,34812.86069
University Heights,2005,38526.95521
East Tremont,2005,15326.58053
Bedford Park,2005,37639.78555
Riverdale,2005,26821.26073
Unionport/Soundview,2005,27297.03598
Throgs Neck,2005,8663.66013
Pelham Parkway,2005,17411.94607
Williamsbridge,2005,14663.72124
Williamsburg/Greenpoint,2005,27633.39374
Fort Greene/Brooklyn Hts,2005,15401.1615
Bedford Stuyvesant,2005,10285.64462
Bushwick,2005,12706.53439
East New York,2005,12462.22452
Park Slope,2005,10158.2267
Sunset Park,2005,13383.72987
Crown Heights North,2005,24651.55926
Crown Heights South,2005,28809.25514
Bay Ridge,2005,17775.95908
Bensonhurst,2005,20108.17831
Borough Park,2005,17390.51771
Coney Island,2005,16596.38837
Flatbush/Midwood,2005,35422.56471
Sheepshead Bay,2005,21365.32906
Brownsville,2005,13572.95433
East Flatbush,2005,16612.53934
Canarsie,2005,3109.13573
Astoria,2005,34782.8653
Sunnyside/Woodside,2005,25581.0214
Jackson Heights,2005,15301.2569
Elmhurst/Corona,2005,20059.5579
Ridgewood/Glendale,2005,9589.66183
Rego Park/Forest Hills,2005,23740.01912
Flushing,2005,23457.1469
Fresh Meadows/Briarwood,2005,19061.99729
Woodhaven,2005,8748.60832
Howard Beach,2005,2144.14979
Bayside,2005,1586.57028
Jamaica/St. Albans,2005,11343.90537
Queens Village,2005,4249.79647
The Rockaways,2005,12121.34118
St. George,2005,8361.6319
South Beach,2005,887.19165
Tottenville,2005,2777.16979
Bronx,2005,262895.60898
Brooklyn,2005,317445.29638
Manhattan,2005,377083.41685
Queens,2005,211767.89805
Staten Island,2005,12025.99334
New York City,2005,1181218.2136
Battery Park/Tribeca,2008,11221.85957
Greenwich Village,2008,16565.75997
Lower East Side,2008,30068.27516
Chelsea/Clinton,2008,22605.49759
Midtown Business District,2008,11313.80577
Murray Hill/Stuyvesant,2008,29928.16464
Upper West Side,2008,41622.86584
Upper East Side,2008,42927.63628
Manhattanville,2008,32342.37091
Central Harlem,2008,26814.42102
