"Name","Median Monthly Rent"
"Description","Median contract (or asking) rent for rental households."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B25058 (2005-2019, 2021); retrieved from <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","<span style=""font-size: 19px; font-family: GestaCond-Regular, GestaCond-Regular, Tahoma, Arial, sans-serif; color: #333333;""></span>Please note, we do not report 2020 American Community Survey 1-year estimates. Due to disruptions and biases in data collection during 2020, the Census Bureau released the &ldquo;experimental&rdquo; 1-year estimates for 2020 and advises against comparing against estimates from prior or future years.<br />
<br />
Dollar amounts for all years adjusted to constant 2021 dollars using the Consumer Price Index Research Series Using Current Methods (CPI-U-RS) for all items; for New York-Newark-Jersey City, NY-NJ-PA. CPI; retrieved from&nbsp;<a href=""https://data.bls.gov/cgi-bin/surveymost?cu"" target=""_blank"">https://data.bls.gov/cgi-bin/surveymost?cu</a>"

Location,TimeFrame,DataFormat,Data,Fips
Riverdale,2005,Dollars,1102.14859,208
Williamsbridge,2005,Dollars,1067.79234,212
Throgs Neck,2005,Dollars,1003.20259,210
Pelham Parkway,2005,Dollars,1071.91509,211
Morrisania,2005,Dollars,770.95432,203
East Tremont,2005,Dollars,770.95432,206
Bedford Park,2005,Dollars,1019.69359,207
University Heights,2005,Dollars,930.36733,205
Concourse/Highbridge,2005,Dollars,889.13983,204
Unionport/Soundview,2005,Dollars,1007.32534,209
Mott Haven,2005,Dollars,629.40655,201
Hunts Point,2005,Dollars,629.40655,202
Washington Heights,2005,Dollars,983.96308,112
Manhattanville,2005,Dollars,902.88233,109
Central Harlem,2005,Dollars,831.42132,110
East Harlem,2005,Dollars,787.44532,111
Upper East Side,2005,Dollars,2049.00693,108
Upper West Side,2005,Dollars,1535.03738,107
Chelsea/Clinton,2005,Dollars,1899.21366,104
Midtown Business District,2005,Dollars,1899.21366,105
Murray Hill/Stuyvesant,2005,Dollars,2016.02492,106
Lower East Side,2005,Dollars,871.27457,103
Battery Park/Tribeca,2005,Dollars,2336.2252,101
Greenwich Village,2005,Dollars,2336.2252,102
Tottenville,2005,Dollars,1227.20535,503
South Beach,2005,Dollars,1231.32811,502
St. George,2005,Dollars,1137.8791,501
Williamsburg/Greenpoint,2005,Dollars,1004.57684,301
Bushwick,2005,Dollars,934.49008,304
Bedford Stuyvesant,2005,Dollars,861.65482,303
Fort Greene/Brooklyn Hts,2005,Dollars,1078.78634,302
Park Slope,2005,Dollars,1683.45639,306
Crown Heights North,2005,Dollars,1021.06784,308
Brownsville,2005,Dollars,744.84356,316
East New York,2005,Dollars,946.85833,305
