Neighborhood,Year,Unemployment Rate
Mott Haven,2005,17.599999999999998
Hunts Point,2005,17.599999999999998
Morrisania,2005,16.5
East Tremont,2005,16.5
Bedford Stuyvesant,2005,13.900000000000002
Brownsville,2005,13.900000000000002
Crown Heights South,2005,13.0
Bushwick,2005,12.7
Washington Heights,2005,11.5
Williamsbridge,2005,11.3
Concourse/Highbridge,2005,11.200000000000001
East New York,2005,11.1
Bronx,2005,11.0
University Heights,2005,11.0
Unionport/Soundview,2005,10.9
Howard Beach,2005,10.4
Crown Heights North,2005,10.299999999999999
East Harlem,2005,9.8
Bedford Park,2005,9.700000000000001
Jackson Heights,2005,9.6
Pelham Parkway,2005,9.5
Woodhaven,2005,9.4
Borough Park,2005,9.3
Brooklyn,2005,9.1
St. George,2005,9.1
East Flatbush,2005,9.1
Bay Ridge,2005,9.0
Jamaica/St. Albans,2005,9.0
Fort Greene/Brooklyn Hts,2005,8.9
Lower East Side,2005,8.799999999999999
Flatbush/Midwood,2005,8.5
New York City,2005,8.4
Sunset Park,2005,8.3
Ridgewood/Glendale,2005,8.3
Canarsie,2005,8.0
The Rockaways,2005,8.0
Sheepshead Bay,2005,7.9
Queens,2005,7.8
Sunnyside/Woodside,2005,7.8
Astoria,2005,7.5
Flushing,2005,7.5
Riverdale,2005,7.199999999999999
Queens Village,2005,7.1
Manhattan,2005,7.000000000000001
Staten Island,2005,6.800000000000001
South Beach,2005,6.7
Chelsea/Clinton,2005,6.6000000000000005
Midtown Business District,2005,6.6000000000000005
Williamsburg/Greenpoint,2005,6.6000000000000005
Coney Island,2005,6.6000000000000005
Fresh Meadows/Briarwood,2005,6.5
Elmhurst/Corona,2005,6.5
Bensonhurst,2005,6.1
Park Slope,2005,5.800000000000001
Rego Park/Forest Hills,2005,5.7
Upper West Side,2005,5.5
Bayside,2005,4.6
Upper East Side,2005,4.5
Tottenville,2005,4.3999999999999995
Murray Hill/Stuyvesant,2005,4.1000000000000005
Battery Park/Tribeca,2005,3.3000000000000003
Greenwich Village,2005,3.3000000000000003
Bronx,2006,11.770999999999999
Brooklyn,2006,7.385
Manhattan,2006,6.751
Queens,2006,7.5
Staten Island,2006,5.371
Riverdale,2006,12.25
Williamsbridge,2006,11.047
Throgs Neck,2006,9.165
Pelham Parkway,2006,8.163
Morrisania,2006,13.086999999999998
East Tremont,2006,13.086999999999998
Bedford Park,2006,13.222000000000001
University Heights,2006,15.177
Concourse/Highbridge,2006,13.857
Unionport/Soundview,2006,8.445
Mott Haven,2006,14.938
Hunts Point,2006,14.938
Washington Heights,2006,11.363
Manhattanville,2006,8.115
Central Harlem,2006,13.43
East Harlem,2006,10.622
Upper East Side,2006,3.5130000000000003
Upper West Side,2006,4.5249999999999995
Chelsea/Clinton,2006,5.4879999999999995
Midtown Business District,2006,5.4879999999999995
Murray Hill/Stuyvesant,2006,4.782
Lower East Side,2006,7.519000000000001
Battery Park/Tribeca,2006,4.774
Greenwich Village,2006,4.774
Tottenville,2006,3.6519999999999997
South Beach,2006,7.272
St. George,2006,5.652
Williamsburg/Greenpoint,2006,6.128
Bushwick,2006,7.097
Bedford Stuyvesant,2006,12.788
Fort Greene/Brooklyn Hts,2006,6.792
Park Slope,2006,5.138
Crown Heights North,2006,12.742999999999999
Brownsville,2006,13.104
East New York,2006,7.237
Canarsie,2006,5.522
East Flatbush,2006,8.351
Crown Heights South,2006,11.312
Sunset Park,2006,4.403
Bay Ridge,2006,8.182
Borough Park,2006,6.1339999999999995
Flatbush/Midwood,2006,7.380000000000001
Sheepshead Bay,2006,5.103
Bensonhurst,2006,4.88
Coney Island,2006,4.934
Astoria,2006,10.12
Jackson Heights,2006,6.776999999999999
Flushing,2006,7.832
Bayside,2006,4.387
Queens Village,2006,6.662999999999999
Fresh Meadows/Briarwood,2006,6.4079999999999995
Elmhurst/Corona,2006,5.26
Rego Park/Forest Hills,2006,6.199000000000001
Sunnyside/Woodside,2006,8.694
Ridgewood/Glendale,2006,6.544999999999999
Woodhaven,2006,7.59
Jamaica/St. Albans,2006,9.940999999999999
Howard Beach,2006,7.794
The Rockaways,2006,9.075999999999999
New York City,2006,7.797999999999999
Bronx,2007,10.058
Brooklyn,2007,6.668
Manhattan,2007,6.7909999999999995
Queens,2007,6.627
Staten Island,2007,4.633
Riverdale,2007,7.8469999999999995
Williamsbridge,2007,8.814
Throgs Neck,2007,5.675
Pelham Parkway,2007,8.376
Morrisania,2007,13.027
East Tremont,2007,13.027
Bedford Park,2007,9.899
University Heights,2007,16.144
Concourse/Highbridge,2007,11.209
Unionport/Soundview,2007,7.535
Mott Haven,2007,13.194
Hunts Point,2007,13.194
Washington Heights,2007,12.185
Manhattanville,2007,6.944999999999999
Central Harlem,2007,12.809999999999999
East Harlem,2007,12.891
Upper East Side,2007,3.4189999999999996
Upper West Side,2007,4.542
Chelsea/Clinton,2007,5.313
Midtown Business District,2007,5.313
Murray Hill/Stuyvesant,2007,4.504
Lower East Side,2007,8.412
Battery Park/Tribeca,2007,3.292
Greenwich Village,2007,3.292
Tottenville,2007,2.719
South Beach,2007,3.911
St. George,2007,6.948
Williamsburg/Greenpoint,2007,5.147
Bushwick,2007,8.001999999999999
Bedford Stuyvesant,2007,8.849
Fort Greene/Brooklyn Hts,2007,6.561
Park Slope,2007,5.483
Crown Heights North,2007,9.357
Brownsville,2007,11.57
East New York,2007,6.304
Canarsie,2007,3.9989999999999997
East Flatbush,2007,9.757
Crown Heights South,2007,10.517
Sunset Park,2007,5.412
Bay Ridge,2007,4.748
Borough Park,2007,6.7379999999999995
Flatbush/Midwood,2007,4.946
Sheepshead Bay,2007,5.592
Bensonhurst,2007,5.266
Coney Island,2007,6.1129999999999995
Astoria,2007,6.392
Jackson Heights,2007,5.774
Flushing,2007,8.393
Bayside,2007,4.33
Queens Village,2007,6.5
Fresh Meadows/Briarwood,2007,7.341
Elmhurst/Corona,2007,5.54
Rego Park/Forest Hills,2007,5.106
Sunnyside/Woodside,2007,5.253
Ridgewood/Glendale,2007,6.300999999999999
Woodhaven,2007,7.8469999999999995
Jamaica/St. Albans,2007,9.949
Howard Beach,2007,5.824
The Rockaways,2007,4.666
New York City,2007,7.072000000000001
Bronx,2008,9.034
Brooklyn,2008,7.249
Manhattan,2008,6.664000000000001
Queens,2008,7.045
Staten Island,2008,5.4
Riverdale,2008,6.465999999999999
Williamsbridge,2008,8.946
Throgs Neck,2008,7.788
Pelham Parkway,2008,6.349
Morrisania,2008,12.479999999999999
East Tremont,2008,12.479999999999999
Bedford Park,2008,9.334000000000001
University Heights,2008,14.852000000000002
Concourse/Highbridge,2008,8.859
Unionport/Soundview,2008,7.297
Mott Haven,2008,8.679
Hunts Point,2008,8.679
Washington Heights,2008,11.891
Manhattanville,2008,5.279
Central Harlem,2008,8.888
East Harlem,2008,12.928
Upper East Side,2008,3.1399999999999997
Upper West Side,2008,4.383
Chelsea/Clinton,2008,6.84
Midtown Business District,2008,6.84
Murray Hill/Stuyvesant,2008,4.422000000000001
Lower East Side,2008,10.115
Battery Park/Tribeca,2008,3.2169999999999996
Greenwich Village,2008,3.2169999999999996
Tottenville,2008,5.097
South Beach,2008,5.176
St. George,2008,5.867
Williamsburg/Greenpoint,2008,4.205
Bushwick,2008,6.167
Bedford Stuyvesant,2008,8.244
Fort Greene/Brooklyn Hts,2008,7.595000000000001
Park Slope,2008,5.034000000000001
Crown Heights North,2008,8.384
Brownsville,2008,15.85
East New York,2008,8.216
Canarsie,2008,7.077
East Flatbush,2008,7.735
Crown Heights South,2008,10.796999999999999
Sunset Park,2008,5.508
Bay Ridge,2008,4.966
Borough Park,2008,7.627000000000001
Flatbush/Midwood,2008,5.591
Sheepshead Bay,2008,4.8660000000000005
Bensonhurst,2008,7.524
Coney Island,2008,8.297
Astoria,2008,6.404
Jackson Heights,2008,6.575
Flushing,2008,6.572
Bayside,2008,5.12
Queens Village,2008,7.544
Fresh Meadows/Briarwood,2008,6.554
Elmhurst/Corona,2008,6.293
Rego Park/Forest Hills,2008,6.194
Sunnyside/Woodside,2008,5.974
Ridgewood/Glendale,2008,4.521
Woodhaven,2008,9.44
Jamaica/St. Albans,2008,10.11
Howard Beach,2008,9.835
The Rockaways,2008,5.847
New York City,2008,7.22
Bronx,2009,13.325999999999999
Brooklyn,2009,9.994
Manhattan,2009,9.690999999999999
Queens,2009,9.859
Staten Island,2009,7.013999999999999
Riverdale,2009,9.322999999999999
Williamsbridge,2009,13.803
Throgs Neck,2009,10.419
Pelham Parkway,2009,8.588
Morrisania,2009,13.319
East Tremont,2009,13.319
Bedford Park,2009,12.698
University Heights,2009,19.445
Concourse/Highbridge,2009,14.457999999999998
Unionport/Soundview,2009,11.855
Mott Haven,2009,18.754
Hunts Point,2009,18.754
Washington Heights,2009,15.805
Manhattanville,2009,9.562
Central Harlem,2009,13.072000000000001
East Harlem,2009,16.207
Upper East Side,2009,6.2509999999999994
Upper West Side,2009,6.6339999999999995
Chelsea/Clinton,2009,9.495000000000001
Midtown Business District,2009,9.495000000000001
Murray Hill/Stuyvesant,2009,9.009
Lower East Side,2009,9.279
