Actual Eviction Rate,Predicted Eviction Rate,RTI Change (%),Unemployment Change (%)
0.0553532410779315,0.10278908782937579,0%,0%
0.1439945790276131,0.2237843457759684,0%,0%
0.1352054082163286,0.20230601273126503,0%,0%
0.6486965631169669,0.2266444248657279,0%,0%
0.2834113364534581,0.20230601273126503,0%,0%
0.2353520281807134,0.04501990505277231,0%,0%
0.5234339536995006,0.2544656708255706,0%,0%
0.0995606345908274,0.16468716154522522,0%,0%
0.0468903680322056,0.17757598178876544,0%,0%
0.0234557724656037,-0.03971289239658782,0%,0%
0.1635858007524946,0.14321241036058885,0%,0%
0.0659135153363888,0.07276373058083196,0%,0%
0.2030317580080938,0.35300213434765704,0%,0%
0.0579206487112655,0.22584597553730235,0%,0%
0.1298616972923836,0.16468716154522522,0%,0%
0.0270070335709169,0.1352983267290644,0%,0%
0.1389124174148738,0.2237843457759684,0%,0%
0.0925374070704852,0.0721450359763155,0%,0%
0.0917698470502549,0.10278908782937579,0%,0%
0.2207648853970521,0.16468716154522522,0%,0%
0.0234557724656037,-0.03971289239658782,0%,0%
0.0147436284069509,-0.03971289239658782,0%,0%
1.1023046439152016,0.6624330579016793,0%,0%
0.0468903680322056,0.17757598178876544,0%,0%
0.0369367150948042,-0.09551037604276563,0%,0%
0.0483082063565548,-0.054446001530087274,0%,0%
0.1021570400291206,0.1352983267290644,0%,0%
0.4301445285615967,0.13011039776045175,0%,0%
0.0201284193152311,-0.054446001530087274,0%,0%
0.1093312367942607,0.24503892269064365,0%,0%
0.1147111659416055,0.16468716154522522,0%,0%
0.0472474013929233,-0.011679394832248224,0%,0%
0.1895069310405334,0.43052966881970023,0%,0%
0.0535371711553619,0.14321241036058885,0%,0%
0.1019664967225054,0.10278908782937579,0%,0%
0.0553532410779315,0.10379325529700834,0%,2%
0.1439945790276131,0.22478851324360083,0%,2%
0.1352054082163286,0.20331018019889746,0%,2%
0.6486965631169669,0.22764859233336032,0%,2%
0.2834113364534581,0.20331018019889746,0%,2%
0.2353520281807134,0.046024072520404746,0%,2%
0.5234339536995006,0.25546983829320313,0%,2%
0.0995606345908274,0.16569132901285777,0%,2%
0.0468903680322056,0.17858014925639798,0%,2%
0.0234557724656037,-0.038708724928955274,0%,2%
0.1635858007524946,0.1442165778282214,0%,2%
0.0659135153363888,0.0737678980484644,0%,2%
0.2030317580080938,0.3540063018152896,0%,2%
0.0579206487112655,0.2268501430049349,0%,2%
0.1298616972923836,0.16569132901285777,0%,2%
0.0270070335709169,0.13630249419669682,0%,2%
0.1389124174148738,0.22478851324360083,0%,2%
0.0925374070704852,0.07314920344394793,0%,2%
0.0917698470502549,0.10379325529700834,0%,2%
0.2207648853970521,0.16569132901285777,0%,2%
0.0234557724656037,-0.038708724928955274,0%,2%
0.0147436284069509,-0.038708724928955274,0%,2%
1.1023046439152016,0.6634372253693119,0%,2%
0.0468903680322056,0.17858014925639798,0%,2%
0.0369367150948042,-0.09450620857513314,0%,2%
0.0483082063565548,-0.05344183406245473,0%,2%
0.1021570400291206,0.13630249419669682,0%,2%
0.4301445285615967,0.13111456522808418,0%,2%
0.0201284193152311,-0.05344183406245473,0%,2%
0.1093312367942607,0.2460430901582762,0%,2%
0.1147111659416055,0.16569132901285777,0%,2%
0.0472474013929233,-0.01067522736461568,0%,2%
0.1895069310405334,0.4315338362873329,0%,2%
0.0535371711553619,0.1442165778282214,0%,2%
0.1019664967225054,0.10379325529700834,0%,2%
0.0553532410779315,0.10479742276464088,0%,4%
0.1439945790276131,0.22579268071123337,0%,4%
0.1352054082163286,0.20431434766653,0%,4%
0.6486965631169669,0.22865275980099287,0%,4%
0.2834113364534581,0.20431434766653,0%,4%
