,Neighborhood,Year,Median Rent,Median Income,RTI (%),Poverty Rate,Unemployment Rate,RTI_x_Unemployment,Unnamed: 0,Population_x,Population_Growth_Rate,Employment Ratio,Percentage of mixed and commercial resident unit,Unstable Emp Rate,Evictions,Eviction Rate,Population_y,Eviction Rate by Population
0,Battery Park/Tribeca,2018,2743.13463,158255.79521,20.800259173017615,6.625,3.7,76.96095894016518,2469,61375.7862,0.020116524103420463,0.74,0.65821,0.0593,49.0,0.0011163765606488,61375.7862,0.0798360445279314
1,Greenwich Village,2018,2743.13463,158255.79521,20.800259173017615,6.625,3.7,76.96095894016518,2470,90603.2138,0.020116524171247985,0.74,0.46959,0.0593,77.0,0.0013474258915759,90603.2138,0.0849859478163455
2,Lower East Side,2018,1156.85935,51675.1873,26.864560972766903,29.965000000000003,6.0,161.18736583660143,2471,155408.0,-0.031665524331734085,0.547,0.49351,0.5118,207.0,0.0025428725861137,155408.0,0.1331977761762586
3,Chelsea/Clinton,2018,2178.05744,107973.5392,24.20656901093782,11.104,5.3,128.29481575797044,2472,110265.3774,0.08525138494861006,0.703,0.49982,0.1302,271.0,0.0031821330859645,110265.3774,0.2457707091655046
4,Murray Hill/Stuyvesant,2018,2535.90406,144097.88772,21.11817820614477,7.874,2.7,57.01908115659088,2474,143582.0,-0.04070179189438383,0.714,0.53513,0.17447,127.0,0.0012781546265171,143582.0,0.0884511986182112
5,Upper West Side,2018,2322.26429,130130.11963,21.41485119604512,8.459,5.1,109.21574109983011,2475,191222.0,-0.11619884016042559,0.66,0.38491,0.24631,217.0,0.0017017472317199,191222.0,0.113480666450513
6,Upper West Side,2018,2322.26429,130130.11963,21.41485119604512,8.459,5.1,109.21574109983011,2475,191222.0,-0.11619884016042559,0.66,0.38491,0.24631,217.0,0.0017017472317199,216284.081,0.1003310086422865
7,Upper West Side,2018,2322.26429,130130.11963,21.41485119604512,8.459,5.1,109.21574109983011,2555,216284.081,0.13106274905607096,0.66,0.38491,0.24631,217.0,0.0017017472317199,191222.0,0.113480666450513
8,Upper West Side,2018,2322.26429,130130.11963,21.41485119604512,8.459,5.1,109.21574109983011,2555,216284.081,0.13106274905607096,0.66,0.38491,0.24631,217.0,0.0017017472317199,216284.081,0.1003310086422865
9,Upper East Side,2018,2400.2428,129997.66297,22.156485695167415,5.443,2.7,59.82251137695202,2476,204469.0,-0.06711820337429508,0.687,0.39381,0.07006,177.0,0.0011861919218319,204469.0,0.0865656896644479
10,Upper East Side,2018,2400.2428,129997.66297,22.156485695167415,5.443,2.7,59.82251137695202,2476,204469.0,-0.06711820337429508,0.687,0.39381,0.07006,177.0,0.0011861919218319,219078.5338,0.0807929453104638
11,Upper East Side,2018,2400.2428,129997.66297,22.156485695167415,5.443,2.7,59.82251137695202,2556,219078.5338,0.07145109429791319,0.687,0.39381,0.07006,177.0,0.0011861919218319,204469.0,0.0865656896644479
12,Upper East Side,2018,2400.2428,129997.66297,22.156485695167415,5.443,2.7,59.82251137695202,2556,219078.5338,0.07145109429791319,0.687,0.39381,0.07006,177.0,0.0011861919218319,219078.5338,0.0807929453104638
13,Central Harlem,2018,1135.49537,50961.63047,26.737654023886257,25.119000000000003,5.3,141.70956632659716,2478,146309.0,-0.00768437758576257,0.576,0.33484,0.46051,570.0,0.0095732352496598,146309.0,0.389586423254892
14,East Harlem,2018,1039.35748,34775.21338,35.86545860613782,31.111,6.5,233.12548093989585,2479,110800.0,-0.024847911104135756,0.502,0.30502,0.50579,307.0,0.0053869099842077,110800.0,0.2770758122743682
15,East Harlem,2018,1039.35748,34775.21338,35.86545860613782,31.111,6.5,233.12548093989585,2479,110800.0,-0.024847911104135756,0.502,0.30502,0.50579,307.0,0.0053869099842077,113268.173,0.2710381847511569
16,East Harlem,2018,1039.35748,34775.21338,35.86545860613782,31.111,6.5,233.12548093989585,2554,113268.173,0.022275929602888045,0.502,0.30502,0.50579,307.0,0.0053869099842077,110800.0,0.2770758122743682
17,East Harlem,2018,1039.35748,34775.21338,35.86545860613782,31.111,6.5,233.12548093989585,2554,113268.173,0.022275929602888045,0.502,0.30502,0.50579,307.0,0.0053869099842077,113268.173,0.2710381847511569
18,Washington Heights,2018,1317.08918,57677.39661,27.402537369829457,18.401,8.3,227.44106016958452,2480,214040.0,-0.02708206438240346,0.589,0.33695,0.34848,679.0,0.0093147678167226,214040.0,0.317230424219772
19,Mott Haven,2018,889.80964,27483.68807,38.85110198021542,37.653,14.000000000000002,543.9154277230159,2481,104393.1356,0.04890091258627538,0.458,0.29117,0.58965,757.0,0.019378951949415,104393.1356,0.7251434643179738
20,Morrisania,2018,1007.31151,28275.22341,42.750283330122066,37.658,13.3,568.5787682906235,2483,85841.38792,-0.06709557356919915,0.495,0.31743,0.53249,1239.0,0.0361878614405047,85841.38792,1.4433597009809391
21,East Tremont,2018,1007.31151,28275.22341,42.750283330122066,37.658,13.3,568.5787682906235,2486,89614.61208,-0.06709557357932683,0.495,0.26626,0.53249,1382.0,0.0418724435691561,89614.61208,1.5421592170329017
