Neighborhood,Year,Median Rent,Median Income,RTI (%)
Riverdale,2005,1102.14859,66429.87643,19.909389857042072
Williamsbridge,2005,1067.79234,54603.07992,23.466639791699134
Throgs Neck,2005,1003.20259,60436.77167,19.91905051734541
Pelham Parkway,2005,1071.91509,55273.71398,23.271425337284708
Morrisania,2005,770.95432,25750.6987,35.92699346833646
East Tremont,2005,770.95432,25750.6987,35.92699346833646
Bedford Park,2005,1019.69359,40150.09143,30.47645134590419
University Heights,2005,930.36733,26635.71578,41.91517904836271
Concourse/Highbridge,2005,889.13983,28529.43244,37.39884409701912
Unionport/Soundview,2005,1007.32534,46589.82748,25.945372056140524
Mott Haven,2005,629.40655,19097.95388,39.54810367360673
Hunts Point,2005,629.40655,19097.95388,39.54810367360673
Washington Heights,2005,983.96308,43661.30048,27.04353015185314
Manhattanville,2005,902.88233,38429.53029,28.193391587769
Central Harlem,2005,831.42132,36766.68764,27.13612914410476
East Harlem,2005,787.44532,37012.67842,25.53001901881815
Upper East Side,2005,2049.00693,113805.77498,21.60530356594036
Upper West Side,2005,1535.03738,115581.30614,15.937221316471273
Chelsea/Clinton,2005,1899.21366,97000.0703,23.495409693532974
Midtown Business District,2005,1899.21366,97000.0703,23.495409693532974
Murray Hill/Stuyvesant,2005,2016.02492,118368.28537,20.43815956645719
Lower East Side,2005,871.27457,44050.21327,23.734947152050417
Battery Park/Tribeca,2005,2336.2252,127748.91668,21.945158619406932
Greenwich Village,2005,2336.2252,127748.91668,21.945158619406932
Tottenville,2005,1227.20535,110392.13769,13.340138625953985
South Beach,2005,1231.32811,81767.88199,18.070588304839617
St. George,2005,1137.8791,71133.93458,19.195548904501496
Williamsburg/Greenpoint,2005,1004.57684,41852.78733,28.80315230847016
Bushwick,2005,934.49008,35065.366,31.979934160675803
Bedford Stuyvesant,2005,861.65482,42332.40062,24.425399194381907
Fort Greene/Brooklyn Hts,2005,1078.78634,70247.54326,18.42831148142276
Park Slope,2005,1683.45639,97361.49808,20.748937802293106
Crown Heights North,2005,1021.06784,41713.98807,29.373394026575987
Brownsville,2005,744.84356,30500.10711,29.305217479283797
East New York,2005,946.85833,42431.34663,26.778080033798823
Canarsie,2005,1221.70835,72139.88567,20.322322476450356
East Flatbush,2005,1135.1306,57445.02916,23.71235144134097
Crown Heights South,2005,1076.03784,51090.49662,25.273690674882303
Sunset Park,2005,1109.01984,52007.12145,25.589261064553686
Bay Ridge,2005,1184.6036,66792.67846,21.282636851452295
Borough Park,2005,1184.6036,44892.62859,31.66498297488086
Flatbush/Midwood,2005,1146.1246,51296.63414,26.811691313827012
Sheepshead Bay,2005,1155.74435,56546.26959,24.52669698736885
Bensonhurst,2005,1142.00185,55122.54646,24.86101074801471
Coney Island,2005,886.39133,34776.77347,30.585632014354896
Astoria,2005,1267.05861,51783.11868,29.362278108352825
Jackson Heights,2005,1328.89986,56549.01809,28.199956177170115
Flushing,2005,1383.86987,67537.52203,24.588462740198644
Bayside,2005,1546.03138,90953.36978,20.397679167770136
Queens Village,2005,1458.07937,92814.10444,18.851609403084815
Fresh Meadows/Briarwood,2005,1260.18736,65914.53264,22.942206694526597
Elmhurst/Corona,2005,1320.65436,56451.44633,28.07342123239449
Rego Park/Forest Hills,2005,1349.51362,71877.4039,22.53025646631625
Sunnyside/Woodside,2005,1302.78911,56550.39234,27.645200454147727
Ridgewood/Glendale,2005,1286.29811,66023.0984,23.379056260710115
Woodhaven,2005,1268.43286,63615.41219,23.926897265931238
Jamaica/St. Albans,2005,1132.3821,63776.19945,21.30667132439169
Howard Beach,2005,1420.97462,71078.96458,23.989791551912894
The Rockaways,2005,972.96908,61984.1773,18.836466770367217
Bronx,2005,950.98108,40166.58244,28.411112588547127
Brooklyn,2005,1082.90909,51303.50539,25.329475990412437
Manhattan,2005,1304.16336,76920.90183,20.34552371030099
Queens,2005,1294.54361,66091.8109,23.50446009643231
Staten Island,2005,1187.3521,86609.36516,16.451136864562145
New York City,2005,1135.1306,59689.17961,22.820831663295163
Riverdale,2006,1117.82389,65118.5392,20.599182421463162
Williamsbridge,2006,1091.33517,60422.08955,21.674228974095453
Throgs Neck,2006,1087.36186,68576.6413,19.02738610792827
Pelham Parkway,2006,1031.73556,55768.02184,22.200584334013023
