Neighborhood,Year,Homeless Families
New York City,2005,2.75792
Manhattan,2005,1.73767
Battery Park/Tribeca,2005,0.35641
Greenwich Village,2005,0.27669
Lower East Side,2005,1.92616
Chelsea/Clinton,2005,1.20583
Midtown Business District,2005,0.83626
Murray Hill/Stuyvesant,2005,0.2233
Upper West Side,2005,0.67305
Upper East Side,2005,0.07934
Manhattanville,2005,3.33163
Central Harlem,2005,6.50919
East Harlem,2005,6.41676
Washington Heights,2005,2.38327
Bronx,2005,6.35399
Mott Haven,2005,10.77009
Hunts Point,2005,9.99501
Morrisania,2005,13.05002
Concourse/Highbridge,2005,18.49745
University Heights,2005,9.00013
East Tremont,2005,7.03938
Bedford Park,2005,5.23746
Riverdale,2005,1.38379
Unionport/Soundview,2005,5.60255
Throgs Neck,2005,1.11017
Pelham Parkway,2005,2.0847
Williamsbridge,2005,3.98195
Brooklyn,2005,3.24315
Williamsburg/Greenpoint,2005,2.02663
Fort Greene/Brooklyn Hts,2005,1.91259
Bedford Stuyvesant,2005,10.47075
Bushwick,2005,7.36823
East New York,2005,9.44787
Park Slope,2005,1.63517
Sunset Park,2005,1.27975
Crown Heights North,2005,4.35857
Crown Heights South,2005,3.36048
Bay Ridge,2005,0.24502
Bensonhurst,2005,0.39894
Borough Park,2005,0.65229
Coney Island,2005,2.02248
Flatbush/Midwood,2005,2.38664
Sheepshead Bay,2005,0.47451
Brownsville,2005,8.33172
East Flatbush,2005,4.1465
Canarsie,2005,1.61481
Queens,2005,1.07729
Astoria,2005,1.12735
Sunnyside/Woodside,2005,0.26662
Jackson Heights,2005,0.85828
Elmhurst/Corona,2005,0.90332
Ridgewood/Glendale,2005,0.50216
Rego Park/Forest Hills,2005,0.07472
Flushing,2005,0.20193
Fresh Meadows/Briarwood,2005,0.57382
Woodhaven,2005,0.9816
Howard Beach,2005,1.23489
Bayside,2005,0.09798
Jamaica/St. Albans,2005,3.75961
Queens Village,2005,1.3259
The Rockaways,2005,3.32697
Staten Island,2005,0.797
St. George,2005,1.6574
South Beach,2005,0.42273
Tottenville,2005,0.1716
New York City,2006,3.0464
Manhattan,2006,1.82291
Battery Park/Tribeca,2006,0.40982
Greenwich Village,2006,0.30369
Lower East Side,2006,2.0435
Chelsea/Clinton,2006,1.13002
Midtown Business District,2006,0.79784
Murray Hill/Stuyvesant,2006,0.22705
Upper West Side,2006,0.67645
Upper East Side,2006,0.1397
Manhattanville,2006,3.89164
Central Harlem,2006,6.77052
East Harlem,2006,6.10744
Washington Heights,2006,2.73688
Bronx,2006,6.79638
Mott Haven,2006,13.72087
Hunts Point,2006,12.69344
Morrisania,2006,12.37047
Concourse/Highbridge,2006,15.95628
University Heights,2006,9.99218
East Tremont,2006,7.51315
Bedford Park,2006,6.01437
Riverdale,2006,1.51142
Unionport/Soundview,2006,5.93149
Throgs Neck,2006,1.21747
Pelham Parkway,2006,2.58978
Williamsbridge,2006,4.76008
Brooklyn,2006,3.32957
Williamsburg/Greenpoint,2006,2.31651
Fort Greene/Brooklyn Hts,2006,1.78238
Bedford Stuyvesant,2006,11.39796
Bushwick,2006,6.77703
East New York,2006,9.73896
Park Slope,2006,1.59876
Sunset Park,2006,1.43155
Crown Heights North,2006,4.66553
Crown Heights South,2006,3.2417
Bay Ridge,2006,0.32025
Bensonhurst,2006,0.4411
Borough Park,2006,0.53284
Coney Island,2006,1.87435
Flatbush/Midwood,2006,2.28797
Sheepshead Bay,2006,0.37312
Brownsville,2006,8.65385
East Flatbush,2006,4.59338
Canarsie,2006,1.77939
Queens,2006,1.10177
Astoria,2006,1.11601
Sunnyside/Woodside,2006,0.42741
Jackson Heights,2006,0.8777
Elmhurst/Corona,2006,0.69308
Ridgewood/Glendale,2006,0.5583
Rego Park/Forest Hills,2006,0.05829
Flushing,2006,0.29704
Fresh Meadows/Briarwood,2006,0.49612
Woodhaven,2006,1.29879
Howard Beach,2006,1.3182
Bayside,2006,0.1284
Jamaica/St. Albans,2006,3.83298
Queens Village,2006,1.33354
The Rockaways,2006,3.3005
Staten Island,2006,0.99099
St. George,2006,2.40302
South Beach,2006,0.29796
Tottenville,2006,0.0851
New York City,2007,3.35263
Manhattan,2007,1.88251
Battery Park/Tribeca,2007,0.23048
Greenwich Village,2007,0.44732
Lower East Side,2007,2.25945
Chelsea/Clinton,2007,1.0599
Midtown Business District,2007,0.5323
Murray Hill/Stuyvesant,2007,0.21911
Upper West Side,2007,0.74183
Upper East Side,2007,0.0778
Manhattanville,2007,3.19476
Central Harlem,2007,6.9495
East Harlem,2007,7.38546
Washington Heights,2007,2.87296
Bronx,2007,7.81134
Mott Haven,2007,14.03543
Hunts Point,2007,14.39013
Morrisania,2007,16.62008
Concourse/Highbridge,2007,20.37644
University Heights,2007,11.03567
East Tremont,2007,8.0749
Bedford Park,2007,7.57224
Riverdale,2007,1.22609
Unionport/Soundview,2007,7.01154
Throgs Neck,2007,1.43138
Pelham Parkway,2007,2.47459
Williamsbridge,2007,6.18583
Brooklyn,2007,3.5213
Williamsburg/Greenpoint,2007,1.8156
Fort Greene/Brooklyn Hts,2007,2.06873
Bedford Stuyvesant,2007,12.45715
Bushwick,2007,7.0129
East New York,2007,10.45546
Park Slope,2007,1.64506
Sunset Park,2007,1.36013
Crown Heights North,2007,5.12406
Crown Heights South,2007,3.75317
Bay Ridge,2007,0.2181
Bensonhurst,2007,0.40148
Borough Park,2007,0.62857
Coney Island,2007,1.82586
Flatbush/Midwood,2007,2.78587
Sheepshead Bay,2007,0.49024
Brownsville,2007,9.11399
East Flatbush,2007,5.24249
Canarsie,2007,1.57063
Queens,2007,1.20083
Astoria,2007,1.2142
Sunnyside/Woodside,2007,0.2624
Jackson Heights,2007,0.98086
Elmhurst/Corona,2007,0.83558
Ridgewood/Glendale,2007,0.7361
Rego Park/Forest Hills,2007,0.09429
Flushing,2007,0.18603
Fresh Meadows/Briarwood,2007,0.67912
Woodhaven,2007,1.55335
Howard Beach,2007,1.08669
Bayside,2007,0.04355
Jamaica/St. Albans,2007,4.15965
Queens Village,2007,1.41527
The Rockaways,2007,3.85015
Staten Island,2007,0.91865
St. George,2007,2.30347
South Beach,2007,0.18604
Tottenville,2007,0.06891
New York City,2008,3.07076
Manhattan,2008,1.59741
Battery Park/Tribeca,2008,0.4468
Greenwich Village,2008,0.32519
Lower East Side,2008,2.21138
Chelsea/Clinton,2008,0.613
Midtown Business District,2008,0.41838
Murray Hill/Stuyvesant,2008,0.16376
Upper West Side,2008,0.5751
Upper East Side,2008,0.11461
Manhattanville,2008,3.2631
Central Harlem,2008,5.4231
East Harlem,2008,6.20598
Washington Heights,2008,2.42323
Bronx,2008,7.07135
Mott Haven,2008,12.3994
Hunts Point,2008,14.2554
Morrisania,2008,13.44984
Concourse/Highbridge,2008,17.70338
University Heights,2008,9.61828
East Tremont,2008,8.70107
Bedford Park,2008,6.27113
Riverdale,2008,1.55007
Unionport/Soundview,2008,6.47911
Throgs Neck,2008,1.1599
Pelham Parkway,2008,2.25572
Williamsbridge,2008,5.75089
Brooklyn,2008,3.17986
Williamsburg/Greenpoint,2008,1.85586
Fort Greene/Brooklyn Hts,2008,1.54086
Bedford Stuyvesant,2008,11.1401
Bushwick,2008,7.07649
East New York,2008,9.43877
Park Slope,2008,1.17734
Sunset Park,2008,1.26923
Crown Heights North,2008,4.89853
Crown Heights South,2008,2.34672
Bay Ridge,2008,0.30864
Bensonhurst,2008,0.25367
Borough Park,2008,0.68069
Coney Island,2008,1.86156
Flatbush/Midwood,2008,2.16957
Sheepshead Bay,2008,0.44343
Brownsville,2008,8.23793
East Flatbush,2008,4.59697
Canarsie,2008,1.57211
Queens,2008,1.14381
Astoria,2008,0.95247
Sunnyside/Woodside,2008,0.33102
Jackson Heights,2008,0.67606
Elmhurst/Corona,2008,0.45267
Ridgewood/Glendale,2008,0.6855
Rego Park/Forest Hills,2008,0.05888
Flushing,2008,0.23974
Fresh Meadows/Briarwood,2008,0.37059
Woodhaven,2008,1.80196
Howard Beach,2008,1.26848
Bayside,2008,0.04457
Jamaica/St. Albans,2008,4.15999
Queens Village,2008,1.39607
The Rockaways,2008,3.77757
Staten Island,2008,1.06955
St. George,2008,2.52777
South Beach,2008,0.33271
Tottenville,2008,0.08893
New York City,2009,3.98802
Manhattan,2009,1.94244
Battery Park/Tribeca,2009,0.15663
Greenwich Village,2009,0.22799
Lower East Side,2009,2.35694
Chelsea/Clinton,2009,0.89129
Midtown Business District,2009,0.32443
Murray Hill/Stuyvesant,2009,0.20545
Upper West Side,2009,0.83247
Upper East Side,2009,0.12959
Manhattanville,2009,4.32932
Central Harlem,2009,7.15283
East Harlem,2009,7.95703
Washington Heights,2009,3.03922
Bronx,2009,9.46146
Mott Haven,2009,15.66646
Hunts Point,2009,16.25685
Morrisania,2009,19.53152
Concourse/Highbridge,2009,23.02935
University Heights,2009,13.0769
East Tremont,2009,9.86401
Bedford Park,2009,9.36466
Riverdale,2009,1.73423
Unionport/Soundview,2009,8.14779
Throgs Neck,2009,2.12894
Pelham Parkway,2009,3.56334
Williamsbridge,2009,7.96802
Brooklyn,2009,4.00913
Williamsburg/Greenpoint,2009,2.38934
Fort Greene/Brooklyn Hts,2009,1.56387
Bedford Stuyvesant,2009,12.84379
Bushwick,2009,7.93531
East New York,2009,12.77129
Park Slope,2009,1.26119
Sunset Park,2009,1.30336
Crown Heights North,2009,5.53755
Crown Heights South,2009,3.89312
Bay Ridge,2009,0.50174
Bensonhurst,2009,0.4724
Borough Park,2009,0.84534
Coney Island,2009,2.55368
Flatbush/Midwood,2009,2.80621
Sheepshead Bay,2009,0.52145
Brownsville,2009,10.92751
East Flatbush,2009,6.20478
Canarsie,2009,2.05877
Queens,2009,1.59407
Astoria,2009,1.04744
Sunnyside/Woodside,2009,0.49233
Jackson Heights,2009,1.28291
Elmhurst/Corona,2009,0.97808
Ridgewood/Glendale,2009,0.96289
Rego Park/Forest Hills,2009,0.14385
Flushing,2009,0.27364
Fresh Meadows/Briarwood,2009,0.58619
Woodhaven,2009,2.41819
Howard Beach,2009,1.30368
Bayside,2009,0.04808
Jamaica/St. Albans,2009,5.99524
Queens Village,2009,1.8214
The Rockaways,2009,5.8821
Staten Island,2009,1.54152
St. George,2009,3.57231
South Beach,2009,0.50169
Tottenville,2009,0.21231
New York City,2010,4.33631
Manhattan,2010,2.08111
Battery Park/Tribeca,2010,0.1075
Greenwich Village,2010,0.22951
Lower East Side,2010,2.36492
Chelsea/Clinton,2010,0.71114
Midtown Business District,2010,0.35514
Murray Hill/Stuyvesant,2010,0.21922
Upper West Side,2010,0.90312
Upper East Side,2010,0.12336
Manhattanville,2010,4.6767
Central Harlem,2010,8.16629
East Harlem,2010,8.45287
Washington Heights,2010,3.30659
Bronx,2010,10.14044
Mott Haven,2010,16.89536
Hunts Point,2010,18.0456
Morrisania,2010,18.26239
Concourse/Highbridge,2010,12.8501
University Heights,2010,15.10503
East Tremont,2010,16.77985
Bedford Park,2010,9.6189
Riverdale,2010,2.35717
Unionport/Soundview,2010,9.66063
Throgs Neck,2010,2.44464
Pelham Parkway,2010,4.62068
Williamsbridge,2010,8.16177
