Neighborhood,Year,Fair or Poor rate
Battery Park/Tribeca,2011,0.06548
Greenwich Village,2011,0.06548
Lower East Side,2011,0.35407
Chelsea/Clinton,2011,0.1495
Midtown Business District,2011,0.1495
Murray Hill/Stuyvesant,2011,0.04961
Upper West Side,2011,0.06071
Upper East Side,2011,0.06766
Manhattanville,2011,0.32759
Central Harlem,2011,0.4094
East Harlem,2011,0.49346
Washington Heights,2011,0.40649
Mott Haven,2011,0.50411
Hunts Point,2011,0.50411
Morrisania,2011,0.57981
Concourse/Highbridge,2011,0.45891
University Heights,2011,0.58881
East Tremont,2011,0.57981
Bedford Park,2011,0.45518
Riverdale,2011,0.24071
Unionport/Soundview,2011,0.44689
Throgs Neck,2011,0.18095
Pelham Parkway,2011,0.22521
Williamsbridge,2011,0.3613
Williamsburg/Greenpoint,2011,0.26184
Fort Greene/Brooklyn Hts,2011,0.19212
Bedford Stuyvesant,2011,0.33566
Bushwick,2011,0.46663
East New York,2011,0.46868
Park Slope,2011,0.12532
Sunset Park,2011,0.30624
Crown Heights North,2011,0.36218
Crown Heights South,2011,0.41646
Bay Ridge,2011,0.12739
Bensonhurst,2011,0.17257
Borough Park,2011,0.21114
Coney Island,2011,0.22678
Flatbush/Midwood,2011,0.31321
Sheepshead Bay,2011,0.1156
Brownsville,2011,0.57721
East Flatbush,2011,0.35719
Canarsie,2011,0.19912
Astoria,2011,0.17227
Sunnyside/Woodside,2011,0.12393
Jackson Heights,2011,0.21991
Elmhurst/Corona,2011,0.30946
Ridgewood/Glendale,2011,0.13801
Rego Park/Forest Hills,2011,0.068
Flushing,2011,0.11722
Fresh Meadows/Briarwood,2011,0.16163
Woodhaven,2011,0.2128
Howard Beach,2011,0.14921
Bayside,2011,0.02942
Jamaica/St. Albans,2011,0.38908
Queens Village,2011,0.12948
The Rockaways,2011,0.35393
St. George,2011,0.22532
South Beach,2011,0.10002
Tottenville,2011,0.02988
New York City,2011,0.24841
Manhattan,2011,0.18304
Bronx,2011,0.43551
Brooklyn,2011,0.2813
Queens,2011,0.181
Staten Island,2011,0.11977
Mott Haven,2008,0.571
Hunts Point,2008,0.571
Morrisania,2008,0.49
Concourse/Highbridge,2008,0.429
University Heights,2008,0.586
East Tremont,2008,0.49
Bedford Park,2008,0.568
Riverdale,2008,0.187
Unionport/Soundview,2008,0.238
Throgs Neck,2008,0.117
Pelham Parkway,2008,0.221
Williamsbridge,2008,0.386
Williamsburg/Greenpoint,2008,0.233
Fort Greene/Brooklyn Hts,2008,0.126
Bedford Stuyvesant,2008,0.402
Bushwick,2008,0.394
East New York,2008,0.275
Park Slope,2008,0.105
Sunset Park,2008,0.197
Crown Heights North,2008,0.449
Crown Heights South,2008,0.409
Bay Ridge,2008,0.112
Bensonhurst,2008,0.127
Borough Park,2008,0.175
Coney Island,2008,0.13
Flatbush/Midwood,2008,0.284
Sheepshead Bay,2008,0.105
Brownsville,2008,0.577
East Flatbush,2008,0.232
Canarsie,2008,0.106
Battery Park/Tribeca,2008,0.087
Greenwich Village,2008,0.087
Lower East Side,2008,0.381
Chelsea/Clinton,2008,0.14
Midtown Business District,2008,0.14
Murray Hill/Stuyvesant,2008,0.06
Upper West Side,2008,0.054
Upper East Side,2008,0.049
Manhattanville,2008,0.252
Central Harlem,2008,0.397
East Harlem,2008,0.427
Washington Heights,2008,0.415
Astoria,2008,0.162
Sunnyside/Woodside,2008,0.236
Jackson Heights,2008,0.317
Elmhurst/Corona,2008,0.299
Ridgewood/Glendale,2008,0.174
Rego Park/Forest Hills,2008,0.075
Flushing,2008,0.156
Fresh Meadows/Briarwood,2008,0.133
Woodhaven,2008,0.213
Howard Beach,2008,0.138
Bayside,2008,0.048
Jamaica/St. Albans,2008,0.224
Queens Village,2008,0.099
The Rockaways,2008,0.268
St. George,2008,0.195
South Beach,2008,0.058
Tottenville,2008,0.027
New York City,2008,0.222
Manhattan,2008,0.189
Bronx,2008,0.385
Brooklyn,2008,0.235
Queens,2008,0.181
Staten Island,2008,0.098
Battery Park/Tribeca,2005,0.102
Greenwich Village,2005,0.102
Lower East Side,2005,0.307
Chelsea/Clinton,2005,0.12
Midtown Business District,2005,0.12
Murray Hill/Stuyvesant,2005,0.059
Upper West Side,2005,0.07
Upper East Side,2005,0.057
Manhattanville,2005,0.264
Central Harlem,2005,0.459
East Harlem,2005,0.458
Washington Heights,2005,0.447
Mott Haven,2005,0.48
Hunts Point,2005,0.48
Morrisania,2005,0.431
Concourse/Highbridge,2005,0.598
University Heights,2005,0.53
East Tremont,2005,0.431
Bedford Park,2005,0.411
Riverdale,2005,0.172
Unionport/Soundview,2005,0.248
Throgs Neck,2005,0.157
Pelham Parkway,2005,0.215
Williamsbridge,2005,0.252
Williamsburg/Greenpoint,2005,0.262
Fort Greene/Brooklyn Hts,2005,0.187
Bedford Stuyvesant,2005,0.357
Bushwick,2005,0.365
East New York,2005,0.283
Park Slope,2005,0.111
