Neighborhood,Year,Number of Public Housing
Battery Park/Tribeca,2002,0.0
Greenwich Village,2002,0.0
Lower East Side,2002,16493.7485
Chelsea/Clinton,2002,1343.58767
Midtown Business District,2002,672.45102
Murray Hill/Stuyvesant,2002,754.03239
Upper West Side,2002,4643.31152
Upper East Side,2002,3031.01217
Manhattanville,2002,4207.58974
Central Harlem,2002,3919.53192
East Harlem,2002,17435.37894
Washington Heights,2002,2349.31123
Mott Haven,2002,7973.95853
Hunts Point,2002,4553.23603
Morrisania,2002,4014.17654
Concourse/Highbridge,2002,1230.2391
University Heights,2002,1312.1205
East Tremont,2002,4190.62276
Bedford Park,2002,540.04153
Riverdale,2002,819.96797
Unionport/Soundview,2002,8082.37311
Throgs Neck,2002,1727.26217
Pelham Parkway,2002,3837.5085
Williamsbridge,2002,4375.89632
Williamsburg/Greenpoint,2002,4619.49713
Fort Greene/Brooklyn Hts,2002,4991.12785
Bedford Stuyvesant,2002,6637.74128
Bushwick,2002,4210.98694
East New York,2002,7394.06384
Park Slope,2002,3048.9085
Sunset Park,2002,0.0
Crown Heights North,2002,4981.74426
Crown Heights South,2002,0.0
Bay Ridge,2002,0.0
Bensonhurst,2002,0.0
Borough Park,2002,0.0
Coney Island,2002,5737.73912
Flatbush/Midwood,2002,0.0
Sheepshead Bay,2002,1455.43966
Brownsville,2002,9476.84325
East Flatbush,2002,0.0
Canarsie,2002,5340.01545
Astoria,2002,7419.3237
Sunnyside/Woodside,2002,491.11401
Jackson Heights,2002,0.0
Elmhurst/Corona,2002,0.0
Ridgewood/Glendale,2002,0.0
Rego Park/Forest Hills,2002,0.0
Flushing,2002,0.0
Fresh Meadows/Briarwood,2002,2449.55027
Woodhaven,2002,0.0
Howard Beach,2002,0.0
Bayside,2002,0.0
Jamaica/St. Albans,2002,1808.43538
Queens Village,2002,0.0
The Rockaways,2002,3849.41075
St. George,2002,2296.70402
South Beach,2002,773.93061
Tottenville,2002,0.0
Bronx,2002,42657.40306
Brooklyn,2002,57894.10728
Manhattan,2002,54849.9551
Queens,2002,16017.83411
Staten Island,2002,3070.63463
New York City,2002,174489.93418
Battery Park/Tribeca,2005,0.0
Greenwich Village,2005,0.0
Lower East Side,2005,15172.57759
Chelsea/Clinton,2005,1420.49071
Midtown Business District,2005,710.94015
Murray Hill/Stuyvesant,2005,777.6492
Upper West Side,2005,5883.30016
Upper East Side,2005,2324.47487
Manhattanville,2005,3919.00819
Central Harlem,2005,3778.60011
East Harlem,2005,15039.24541
Washington Heights,2005,1633.81298
Mott Haven,2005,6939.45817
Hunts Point,2005,3962.52261
Morrisania,2005,3951.39375
Concourse/Highbridge,2005,1051.18009
University Heights,2005,1174.01191
East Tremont,2005,4125.0803
Bedford Park,2005,784.87786
Riverdale,2005,572.42087
Unionport/Soundview,2005,7535.1251
Throgs Neck,2005,1258.23956
Pelham Parkway,2005,3904.45619
Williamsbridge,2005,2592.23328
Williamsburg/Greenpoint,2005,4534.76613
Fort Greene/Brooklyn Hts,2005,5153.15191
Bedford Stuyvesant,2005,7847.97574
Bushwick,2005,4372.68026
East New York,2005,8003.55742
Park Slope,2005,3440.77835
Sunset Park,2005,0.0
Crown Heights North,2005,3642.51732
Crown Heights South,2005,0.0
Bay Ridge,2005,0.0
Bensonhurst,2005,0.0
Borough Park,2005,0.0
Coney Island,2005,6577.35871
Flatbush/Midwood,2005,0.0
Sheepshead Bay,2005,2868.16877
Brownsville,2005,8593.87079
East Flatbush,2005,0.0
Canarsie,2005,4550.26607
Astoria,2005,7115.17097
Sunnyside/Woodside,2005,0.0
Jackson Heights,2005,0.0
Elmhurst/Corona,2005,0.0
Ridgewood/Glendale,2005,0.0
Rego Park/Forest Hills,2005,0.0
Flushing,2005,0.0
Fresh Meadows/Briarwood,2005,2588.53669
Woodhaven,2005,0.0
Howard Beach,2005,0.0
Bayside,2005,0.0
Jamaica/St. Albans,2005,2981.66421
Queens Village,2005,533.58072
The Rockaways,2005,3811.42352
St. George,2005,1820.14814
South Beach,2005,592.72247
Tottenville,2005,0.0
