,Neighborhood,Year,Population
0,Battery Park/Tribeca,2005,51150.45963
1,Greenwich Village,2005,75508.54037
2,Lower East Side,2005,145556.0
3,Chelsea/Clinton,2005,88754.39184
4,Midtown Business District,2005,44420.60816
5,Murray Hill/Stuyvesant,2005,146269.0
6,Upper West Side,2005,208708.0
7,Upper East Side,2005,211724.0
8,Manhattanville,2005,114405.0
9,Central Harlem,2005,118291.0
10,East Harlem,2005,109772.0
11,Washington Heights,2005,215215.0
12,Mott Haven,2005,86004.36653
13,Hunts Point,2005,49109.63347
14,Morrisania,2005,68816.55766
15,Concourse/Highbridge,2005,132813.0
16,University Heights,2005,131447.0
17,East Tremont,2005,71841.44234
18,Bedford Park,2005,131535.0
19,Riverdale,2005,100157.0
20,Unionport/Soundview,2005,178944.0
21,Throgs Neck,2005,98174.0
22,Pelham Parkway,2005,119613.0
23,Williamsbridge,2005,141185.0
24,Williamsburg/Greenpoint,2005,132287.0
25,Fort Greene/Brooklyn Hts,2005,109811.0
26,Bedford Stuyvesant,2005,135559.0
27,Bushwick,2005,115583.0
28,East New York,2005,143543.0
29,Park Slope,2005,112313.0
30,Sunset Park,2005,139547.0
31,Crown Heights North,2005,128655.0
32,Crown Heights South,2005,108000.0
33,Bay Ridge,2005,124339.0
34,Bensonhurst,2005,181857.0
35,Borough Park,2005,154525.0
36,Coney Island,2005,109576.0
37,Flatbush/Midwood,2005,156685.0
38,Sheepshead Bay,2005,151192.0
39,Brownsville,2005,111136.0
40,East Flatbush,2005,143392.0
41,Canarsie,2005,188016.0
42,Astoria,2005,196854.0
43,Sunnyside/Woodside,2005,138863.0
44,Jackson Heights,2005,181014.0
45,Elmhurst/Corona,2005,139422.0
46,Ridgewood/Glendale,2005,169055.0
47,Rego Park/Forest Hills,2005,116490.0
48,Flushing,2005,241947.0
49,Fresh Meadows/Briarwood,2005,137827.0
50,Woodhaven,2005,132751.0
51,Howard Beach,2005,124086.0
52,Bayside,2005,111573.0
53,Jamaica/St. Albans,2005,224774.0
54,Queens Village,2005,188995.0
55,The Rockaways,2005,111688.0
56,St. George,2005,168545.0
57,South Beach,2005,131695.0
58,Tottenville,2005,155104.0
59,Bronx,2005,1309640.0
60,Brooklyn,2005,2446016.0
61,Manhattan,2005,1529774.0
62,Queens,2005,2215339.0
63,Staten Island,2005,455344.0
64,New York City,2005,7956113.0
65,Battery Park/Tribeca,2006,59445.0087
66,Greenwich Village,2006,87752.9913
67,Lower East Side,2006,178669.0
68,Chelsea/Clinton,2006,87597.43577
69,Midtown Business District,2006,43841.56423
70,Murray Hill/Stuyvesant,2006,138971.0
71,Upper West Side,2006,216812.0
72,Upper East Side,2006,214459.0
73,Manhattanville,2006,122736.0
74,Central Harlem,2006,118143.0
75,East Harlem,2006,134287.0
76,Washington Heights,2006,208867.0
77,Mott Haven,2006,87777.74431
78,Hunts Point,2006,50122.25569
79,Morrisania,2006,76787.37594
80,Concourse/Highbridge,2006,132838.0
81,University Heights,2006,133858.0
82,East Tremont,2006,80162.62406
83,Bedford Park,2006,124968.0
84,Riverdale,2006,111199.0
85,Unionport/Soundview,2006,180396.0
86,Throgs Neck,2006,114081.0
87,Pelham Parkway,2006,121465.0
88,Williamsbridge,2006,147818.0
89,Williamsburg/Greenpoint,2006,141513.0
90,Fort Greene/Brooklyn Hts,2006,111796.0
91,Bedford Stuyvesant,2006,132087.0
92,Bushwick,2006,123871.0
93,East New York,2006,161064.0
94,Park Slope,2006,110032.0
95,Sunset Park,2006,153066.0
96,Crown Heights North,2006,127013.0
97,Crown Heights South,2006,110333.0
98,Bay Ridge,2006,123447.0
99,Bensonhurst,2006,174593.0
100,Borough Park,2006,155509.0
101,Coney Island,2006,103687.0
102,Flatbush/Midwood,2006,163099.0
103,Sheepshead Bay,2006,148784.0
104,Brownsville,2006,116936.0
105,East Flatbush,2006,147390.0
106,Canarsie,2006,204600.0
107,Astoria,2006,190247.0
108,Sunnyside/Woodside,2006,128673.0
109,Jackson Heights,2006,176387.0
110,Elmhurst/Corona,2006,138593.0
111,Ridgewood/Glendale,2006,179768.0
112,Rego Park/Forest Hills,2006,116418.0
113,Flushing,2006,246542.0
114,Fresh Meadows/Briarwood,2006,147374.0
115,Woodhaven,2006,138679.0
116,Howard Beach,2006,124623.0
117,Bayside,2006,117784.0
118,Jamaica/St. Albans,2006,216115.0
119,Queens Village,2006,213704.0
