Neighborhood,Year,Poverty Rate
East Tremont,2005,42.565
Sunset Park,2005,27.901999999999997
Park Slope,2005,11.222
East New York,2005,28.79
Bushwick,2005,34.025
Fort Greene/Brooklyn Hts,2005,18.959
Williamsburg/Greenpoint,2005,34.153
Williamsbridge,2005,16.681
Pelham Parkway,2005,17.492
Throgs Neck,2005,10.861
Unionport/Soundview,2005,23.826
Riverdale,2005,16.689999999999998
Bedford Park,2005,27.914
University Heights,2005,40.904
Concourse/Highbridge,2005,35.667
Morrisania,2005,42.565
Hunts Point,2005,52.190999999999995
Mott Haven,2005,52.190999999999995
Washington Heights,2005,24.990000000000002
East Harlem,2005,29.751
Central Harlem,2005,35.321999999999996
Manhattanville,2005,32.527
Upper East Side,2005,6.048
Upper West Side,2005,9.32
Murray Hill/Stuyvesant,2005,5.7700000000000005
Midtown Business District,2005,11.583
Chelsea/Clinton,2005,11.583
Lower East Side,2005,27.701999999999998
Greenwich Village,2005,9.203
Battery Park/Tribeca,2005,9.203
Crown Heights North,2005,23.151
Crown Heights South,2005,17.662
Bedford Stuyvesant,2005,26.669999999999998
Bensonhurst,2005,20.624000000000002
Howard Beach,2005,8.402
Bayside,2005,5.963
Jamaica/St. Albans,2005,10.679
Queens Village,2005,5.0889999999999995
Bay Ridge,2005,13.900000000000002
St. George,2005,15.501000000000001
Woodhaven,2005,13.52
South Beach,2005,12.594
Bronx,2005,29.220000000000002
Brooklyn,2005,22.357
Manhattan,2005,17.871000000000002
Queens,2005,11.940000000000001
Staten Island,2005,10.988000000000001
New York City,2005,19.066
Tottenville,2005,4.729
Fresh Meadows/Briarwood,2005,8.044
The Rockaways,2005,17.176
Borough Park,2005,28.206999999999997
Rego Park/Forest Hills,2005,8.838
Ridgewood/Glendale,2005,13.572000000000001
Elmhurst/Corona,2005,18.13
Jackson Heights,2005,16.147
Sunnyside/Woodside,2005,12.731
Astoria,2005,18.346999999999998
Canarsie,2005,9.532
East Flatbush,2005,12.203999999999999
Brownsville,2005,36.895
Sheepshead Bay,2005,17.358
Flatbush/Midwood,2005,21.126
Coney Island,2005,27.060000000000002
Flushing,2005,9.971
Riverdale,2006,14.982999999999999
Bedford Park,2006,34.183
University Heights,2006,41.558
Unionport/Soundview,2006,26.201999999999998
East Tremont,2006,43.454
Throgs Neck,2006,9.936
East New York,2006,27.778000000000002
Williamsbridge,2006,14.664
Williamsburg/Greenpoint,2006,35.238
Fort Greene/Brooklyn Hts,2006,20.405
Bedford Stuyvesant,2006,37.712
Bushwick,2006,32.926
Concourse/Highbridge,2006,39.330999999999996
Pelham Parkway,2006,17.785999999999998
Morrisania,2006,43.454
New York City,2006,19.171
Mott Haven,2006,43.242000000000004
Washington Heights,2006,28.07
East Harlem,2006,36.893
Central Harlem,2006,28.675
Manhattanville,2006,27.315
Upper East Side,2006,4.819
Upper West Side,2006,9.02
Murray Hill/Stuyvesant,2006,7.202
Midtown Business District,2006,13.607
Chelsea/Clinton,2006,13.607
Lower East Side,2006,25.078
Greenwich Village,2006,11.903
Battery Park/Tribeca,2006,11.903
Park Slope,2006,12.049
Hunts Point,2006,43.242000000000004
Sunset Park,2006,20.816000000000003
Crown Heights North,2006,22.869999999999997
Crown Heights South,2006,22.311
Queens,2006,12.194
Manhattan,2006,18.323
Brooklyn,2006,22.594
Bronx,2006,29.061999999999998
Tottenville,2006,4.109
South Beach,2006,8.673
St. George,2006,14.963999999999999
The Rockaways,2006,20.333000000000002
Queens Village,2006,5.856999999999999
Jamaica/St. Albans,2006,10.123999999999999
Bayside,2006,5.769
Howard Beach,2006,9.594
Woodhaven,2006,14.158000000000001
Fresh Meadows/Briarwood,2006,8.056000000000001
Flushing,2006,10.613999999999999
Staten Island,2006,9.183
Ridgewood/Glendale,2006,10.620000000000001
Rego Park/Forest Hills,2006,9.455
Bensonhurst,2006,17.883
Borough Park,2006,24.529999999999998
Coney Island,2006,22.012
Flatbush/Midwood,2006,18.121000000000002
Sheepshead Bay,2006,17.704
Bay Ridge,2006,13.653
East Flatbush,2006,19.131999999999998
Canarsie,2006,10.791
Astoria,2006,17.182
Sunnyside/Woodside,2006,18.11
